experiment,imputer,task,missing_type,missing_fraction,strategy,column,result_type,metric,train,test,baseline,corrupted,imputed
corrupted_binary_experiment,AutoKerasImputer,1046,MAR,0.01,single_single,end,impute_performance_std,MAE,72524.17563327191,133878.7706175602,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MAR,0.01,single_single,end,impute_performance_std,MSE,37389711695.17302,124491003523.02393,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MAR,0.01,single_single,end,impute_performance_std,RMSE,100804.89303250978,183681.8821546024,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MAR,0.1,single_single,end,impute_performance_std,MAE,36772.554944579504,78229.24794648837,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MAR,0.1,single_single,end,impute_performance_std,MSE,35550070759.13488,73226790334.80649,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MAR,0.1,single_single,end,impute_performance_std,RMSE,67076.61097624498,86065.8439481384,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MAR,0.3,single_single,end,impute_performance_std,MAE,35332.71521251025,31099.00094087228,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MAR,0.3,single_single,end,impute_performance_std,MSE,31168027965.39304,25818780000.67521,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MAR,0.3,single_single,end,impute_performance_std,RMSE,61152.46510563712,38042.57304174767,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MAR,0.5,single_single,end,impute_performance_std,MAE,78989.10404420568,20061.06857534684,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MAR,0.5,single_single,end,impute_performance_std,MSE,62353493792.43803,17625353988.78289,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MAR,0.5,single_single,end,impute_performance_std,RMSE,94054.20130997567,24633.97387619923,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MCAR,0.01,single_single,end,impute_performance_std,MAE,18333.88693305098,4012.188042121787,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MCAR,0.01,single_single,end,impute_performance_std,MSE,20972923831.291286,19809435234.0025,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MCAR,0.01,single_single,end,impute_performance_std,RMSE,30385.98158150476,28363.870977083683,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MCAR,0.1,single_single,end,impute_performance_std,MAE,16498.44793774503,11273.542684002345,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MCAR,0.1,single_single,end,impute_performance_std,MSE,10654687157.040268,7446089597.992514,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MCAR,0.1,single_single,end,impute_performance_std,RMSE,15511.706754782748,10378.474357272698,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MCAR,0.3,single_single,end,impute_performance_std,MAE,4859.5497635995525,5078.188541454284,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MCAR,0.3,single_single,end,impute_performance_std,MSE,2111065843.9606376,5602495360.688259,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MCAR,0.3,single_single,end,impute_performance_std,RMSE,3119.9563735362312,8143.923478226011,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MCAR,0.5,single_single,end,impute_performance_std,MAE,2352.790001509777,4519.321294297504,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MCAR,0.5,single_single,end,impute_performance_std,MSE,1142768399.3143225,3097174085.623368,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MCAR,0.5,single_single,end,impute_performance_std,RMSE,1652.4108493022864,4524.127405810235,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MNAR,0.01,single_single,end,impute_performance_std,MAE,155138.06044879244,228432.54428240252,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MNAR,0.01,single_single,end,impute_performance_std,MSE,184101862804.97568,284732500807.16327,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MNAR,0.01,single_single,end,impute_performance_std,RMSE,232760.521465738,278888.571941031,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MNAR,0.1,single_single,end,impute_performance_std,MAE,15500.84647351146,7633.972686866697,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MNAR,0.1,single_single,end,impute_performance_std,MSE,8924317165.887367,2720716968.7642145,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MNAR,0.1,single_single,end,impute_performance_std,RMSE,16669.45214627023,8128.74026710084,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MNAR,0.3,single_single,end,impute_performance_std,MAE,31323.292726328746,63208.12375550173,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MNAR,0.3,single_single,end,impute_performance_std,MSE,40419738069.17584,29252892930.894043,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MNAR,0.3,single_single,end,impute_performance_std,RMSE,44641.610796959845,73173.57885257628,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MNAR,0.5,single_single,end,impute_performance_std,MAE,117500.4026477064,89455.51974060756,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MNAR,0.5,single_single,end,impute_performance_std,MSE,92172611429.50133,85115029464.67603,,,
corrupted_binary_experiment,AutoKerasImputer,1046,MNAR,0.5,single_single,end,impute_performance_std,RMSE,101850.87453960738,102662.95181947434,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MAR,0.01,single_single,fAlpha_,impute_performance_std,MAE,2.619101287867342,2.077050206089885,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MAR,0.01,single_single,fAlpha_,impute_performance_std,MSE,112.48416120646168,118.05396675153897,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MAR,0.01,single_single,fAlpha_,impute_performance_std,RMSE,2.9780106439679344,2.7455103397690777,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MAR,0.1,single_single,fAlpha_,impute_performance_std,MAE,1.8518672698474188,2.678528634443538,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MAR,0.1,single_single,fAlpha_,impute_performance_std,MSE,66.19759137596473,113.79368891615005,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MAR,0.1,single_single,fAlpha_,impute_performance_std,RMSE,1.3934035398042754,2.505290221629028,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MAR,0.3,single_single,fAlpha_,impute_performance_std,MAE,2.188476174950304,1.5125548642713067,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MAR,0.3,single_single,fAlpha_,impute_performance_std,MSE,57.37937879275053,66.30230328143494,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MAR,0.3,single_single,fAlpha_,impute_performance_std,RMSE,1.2609941302659091,1.3890969253641818,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MAR,0.5,single_single,fAlpha_,impute_performance_std,MAE,2.0054681783694326,2.1881005410513645,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MAR,0.5,single_single,fAlpha_,impute_performance_std,MSE,69.8916901073955,99.2110253649655,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MAR,0.5,single_single,fAlpha_,impute_performance_std,RMSE,1.463921694223508,2.2385700058649087,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MCAR,0.01,single_single,fAlpha_,impute_performance_std,MAE,1.0320993701740062,0.9526354174118156,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MCAR,0.01,single_single,fAlpha_,impute_performance_std,MSE,49.31920920399772,55.09630656389283,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MCAR,0.01,single_single,fAlpha_,impute_performance_std,RMSE,1.1471916020550552,1.3097373110467638,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MCAR,0.1,single_single,fAlpha_,impute_performance_std,MAE,0.4729814056507799,1.1395079367831378,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MCAR,0.1,single_single,fAlpha_,impute_performance_std,MSE,19.00637669860912,52.07438631758942,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MCAR,0.1,single_single,fAlpha_,impute_performance_std,RMSE,0.4275325705014766,1.1489522945250523,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MCAR,0.3,single_single,fAlpha_,impute_performance_std,MAE,0.2103571825048189,0.1123706292062167,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MCAR,0.3,single_single,fAlpha_,impute_performance_std,MSE,8.564344657835312,15.197345334242453,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MCAR,0.3,single_single,fAlpha_,impute_performance_std,RMSE,0.1922297436816074,0.3448870147157055,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MCAR,0.5,single_single,fAlpha_,impute_performance_std,MAE,0.3139047415548011,0.6666627647560049,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MCAR,0.5,single_single,fAlpha_,impute_performance_std,MSE,10.392702903679194,26.701743037263093,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MCAR,0.5,single_single,fAlpha_,impute_performance_std,RMSE,0.2307518764884814,0.5996117420230115,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MNAR,0.01,single_single,fAlpha_,impute_performance_std,MAE,5.952366605809296,7.260358519510394,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MNAR,0.01,single_single,fAlpha_,impute_performance_std,MSE,228.98286729033575,699.777727453519,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MNAR,0.01,single_single,fAlpha_,impute_performance_std,RMSE,5.318849623219086,7.705110371350365,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MNAR,0.1,single_single,fAlpha_,impute_performance_std,MAE,18.490247569066312,20.06483477351796,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MNAR,0.1,single_single,fAlpha_,impute_performance_std,MSE,1085.4090976703003,1183.2533060710634,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MNAR,0.1,single_single,fAlpha_,impute_performance_std,RMSE,17.902704090687514,19.42066009953778,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MNAR,0.3,single_single,fAlpha_,impute_performance_std,MAE,3.678825636800366,0.6282482803029926,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MNAR,0.3,single_single,fAlpha_,impute_performance_std,MSE,141.84324849665404,38.86917204660655,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MNAR,0.3,single_single,fAlpha_,impute_performance_std,RMSE,3.71041678982204,1.1876083016705432,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MNAR,0.5,single_single,fAlpha_,impute_performance_std,MAE,7.797550167681765,4.192647666604228,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MNAR,0.5,single_single,fAlpha_,impute_performance_std,MSE,508.054822358356,205.1876107481741,,,
corrupted_binary_experiment,AutoKerasImputer,1120,MNAR,0.5,single_single,fAlpha_,impute_performance_std,RMSE,8.273807645929152,4.432790648352527,,,
corrupted_binary_experiment,AutoKerasImputer,1220,MAR,0.01,single_single,keyword_id,impute_performance_std,MAE,9530.958610998696,19403.88941568314,,,
corrupted_binary_experiment,AutoKerasImputer,1220,MAR,0.01,single_single,keyword_id,impute_performance_std,MSE,2474159148.840957,5975537228.955117,,,
corrupted_binary_experiment,AutoKerasImputer,1220,MAR,0.01,single_single,keyword_id,impute_performance_std,RMSE,17177.054650594906,49820.972308738914,,,
corrupted_binary_experiment,AutoKerasImputer,1220,MAR,0.1,single_single,keyword_id,impute_performance_std,MAE,4490.891588475463,7974.574373496588,,,
corrupted_binary_experiment,AutoKerasImputer,1220,MAR,0.1,single_single,keyword_id,impute_performance_std,MSE,1319029814.599442,2607363442.7008915,,,
corrupted_binary_experiment,AutoKerasImputer,1220,MAR,0.1,single_single,keyword_id,impute_performance_std,RMSE,9658.844863550716,25218.958502873036,,,
corrupted_binary_experiment,AutoKerasImputer,1220,MAR,0.3,single_single,keyword_id,impute_performance_std,MAE,4245.668194330378,6521.653640045072,,,
corrupted_binary_experiment,AutoKerasImputer,1220,MAR,0.3,single_single,keyword_id,impute_performance_std,MSE,842060512.5401775,2251863924.4862933,,,
corrupted_binary_experiment,AutoKerasImputer,1220,MAR,0.3,single_single,keyword_id,impute_performance_std,RMSE,6034.987598092748,19786.810410948638,,,
corrupted_binary_experiment,AutoKerasImputer,1220,MAR,0.5,single_single,keyword_id,impute_performance_std,MAE,22717.12147436287,14805.746799554516,,,
corrupted_binary_experiment,AutoKerasImputer,1220,MAR,0.5,single_single,keyword_id,impute_performance_std,MSE,2394005927.648622,960704301.8432406,,,
corrupted_binary_experiment,AutoKerasImputer,1220,MAR,0.5,single_single,keyword_id,impute_performance_std,RMSE,17200.964601914606,9226.380378914397,,,
corrupted_binary_experiment,AutoKerasImputer,1220,MCAR,0.01,single_single,keyword_id,impute_performance_std,MAE,1473.1716535441872,10197.533016649171,,,
corrupted_binary_experiment,AutoKerasImputer,1220,MCAR,0.01,single_single,keyword_id,impute_performance_std,MSE,1088756855.2033994,3003997299.975955,,,
corrupted_binary_experiment,AutoKerasImputer,1220,MCAR,0.01,single_single,keyword_id,impute_performance_std,RMSE,7374.297917988189,28478.059779783645,,,
corrupted_binary_experiment,AutoKerasImputer,1220,MCAR,0.1,single_single,keyword_id,impute_performance_std,MAE,1550.388442036488,2020.5042093265097,,,
corrupted_binary_experiment,AutoKerasImputer,1220,MCAR,0.1,single_single,keyword_id,impute_performance_std,MSE,762576210.9292188,1526153491.7247334,,,
corrupted_binary_experiment,AutoKerasImputer,1220,MCAR,0.1,single_single,keyword_id,impute_performance_std,RMSE,5565.845946223065,10752.663778996892,,,
corrupted_binary_experiment,AutoKerasImputer,1220,MCAR,0.3,single_single,keyword_id,impute_performance_std,MAE,1296.1655895194726,1546.7647490104453,,,
corrupted_binary_experiment,AutoKerasImputer,1220,MCAR,0.3,single_single,keyword_id,impute_performance_std,MSE,399824365.9716628,593671247.6015759,,,
corrupted_binary_experiment,AutoKerasImputer,1220,MCAR,0.3,single_single,keyword_id,impute_performance_std,RMSE,2914.211819772617,4172.037467244917,,,
corrupted_binary_experiment,AutoKerasImputer,1220,MCAR,0.5,single_single,keyword_id,impute_performance_std,MAE,1081.627219617205,1284.978613944172,,,
corrupted_binary_experiment,AutoKerasImputer,1220,MCAR,0.5,single_single,keyword_id,impute_performance_std,MSE,278721684.3516756,305127571.6580196,,,
corrupted_binary_experiment,AutoKerasImputer,1220,MCAR,0.5,single_single,keyword_id,impute_performance_std,RMSE,1972.507094536616,2162.467840914833,,,
corrupted_binary_experiment,AutoKerasImputer,1220,MNAR,0.01,single_single,keyword_id,impute_performance_std,MAE,12174.564288776612,57279.95525811704,,,
corrupted_binary_experiment,AutoKerasImputer,1220,MNAR,0.01,single_single,keyword_id,impute_performance_std,MSE,5566680175.458096,12082678561.784533,,,
