experiment,imputer,task,missing_type,missing_fraction,strategy,column,result_type,metric,train,test,baseline,corrupted,imputed
corrupted_binary_experiment_subset,AutoKerasImputer,1046,MAR,0.01,single_single,end,impute_performance_std,MAE,113744.20167512128,38879.215770022,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1046,MAR,0.01,single_single,end,impute_performance_std,MSE,56540208998.153625,26030241542.2455,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1046,MAR,0.01,single_single,end,impute_performance_std,RMSE,108040.19082073042,65914.74547817065,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1046,MAR,0.1,single_single,end,impute_performance_std,MAE,113721.5845470905,61741.83031850242,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1046,MAR,0.1,single_single,end,impute_performance_std,MSE,89052529053.43677,120402212957.99203,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1046,MAR,0.1,single_single,end,impute_performance_std,RMSE,128574.05960311038,150837.23340508115,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1046,MAR,0.3,single_single,end,impute_performance_std,MAE,39367.0176417925,46680.997402504814,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1046,MAR,0.3,single_single,end,impute_performance_std,MSE,23114973381.853645,41115124089.475945,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1046,MAR,0.3,single_single,end,impute_performance_std,RMSE,31406.60243131116,45657.34200899534,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1046,MCAR,0.01,single_single,end,impute_performance_std,MAE,150406.66924426876,44139.35789063758,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1046,MCAR,0.01,single_single,end,impute_performance_std,MSE,203477334571.2656,16006597471.105145,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1046,MCAR,0.01,single_single,end,impute_performance_std,RMSE,263250.5514521291,49447.98586176496,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1046,MCAR,0.3,single_single,end,impute_performance_std,MAE,24455.889201108064,23875.589268260308,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1046,MCAR,0.3,single_single,end,impute_performance_std,MSE,24993917539.520138,20420489847.29997,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1046,MCAR,0.3,single_single,end,impute_performance_std,RMSE,35273.96013577027,26747.970424256317,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1046,MNAR,0.01,single_single,end,impute_performance_std,MAE,31931.37847910994,470196.05832139,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1046,MNAR,0.01,single_single,end,impute_performance_std,MSE,92094203394.7534,727929093146.9624,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1046,MNAR,0.01,single_single,end,impute_performance_std,RMSE,103174.77532681046,538522.9051909806,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1046,MNAR,0.1,single_single,end,impute_performance_std,MAE,42877.016310430285,180110.68138654405,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1046,MNAR,0.1,single_single,end,impute_performance_std,MSE,62037394097.31898,268102073240.0267,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1046,MNAR,0.1,single_single,end,impute_performance_std,RMSE,72955.45912983993,302629.0619925453,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1046,MNAR,0.5,single_single,end,impute_performance_std,MAE,103399.1814159483,45293.1313200958,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1046,MNAR,0.5,single_single,end,impute_performance_std,MSE,99213196275.52348,51329951235.17755,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1046,MNAR,0.5,single_single,end,impute_performance_std,RMSE,137316.59113339332,71215.41041992894,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MAR,0.01,single_single,fAlpha_,impute_performance_std,MAE,6.849103309197063,4.862106248534046,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MAR,0.01,single_single,fAlpha_,impute_performance_std,MSE,293.0817457595896,187.30281974638143,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MAR,0.01,single_single,fAlpha_,impute_performance_std,RMSE,6.502226140672629,4.6867724911289965,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MAR,0.1,single_single,fAlpha_,impute_performance_std,MAE,1.7785270835162306,2.9410731782615023,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MAR,0.1,single_single,fAlpha_,impute_performance_std,MSE,69.4551069340016,112.59972985528805,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MAR,0.1,single_single,fAlpha_,impute_performance_std,RMSE,1.481780535919018,2.452657439824305,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MAR,0.3,single_single,fAlpha_,impute_performance_std,MAE,2.089435192913396,3.46585890896895,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MAR,0.3,single_single,fAlpha_,impute_performance_std,MSE,62.07030801358496,123.28729997149982,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MAR,0.3,single_single,fAlpha_,impute_performance_std,RMSE,1.2955118349979728,2.711994389434546,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MAR,0.5,single_single,fAlpha_,impute_performance_std,MAE,2.1913104233018097,1.3040037297598803,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MAR,0.5,single_single,fAlpha_,impute_performance_std,MSE,99.4812705155861,108.11351301510176,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MAR,0.5,single_single,fAlpha_,impute_performance_std,RMSE,2.039674404057893,2.053558278885516,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MCAR,0.01,single_single,fAlpha_,impute_performance_std,MAE,2.435620722182714,5.357665208068232,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MCAR,0.01,single_single,fAlpha_,impute_performance_std,MSE,163.75833426944453,303.3587883160428,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MCAR,0.01,single_single,fAlpha_,impute_performance_std,RMSE,3.91744403769342,8.053024781863678,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MCAR,0.1,single_single,fAlpha_,impute_performance_std,MAE,1.3264314578158956,2.883978074696398,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MCAR,0.1,single_single,fAlpha_,impute_performance_std,MSE,77.62701574323883,146.72854467436852,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MCAR,0.1,single_single,fAlpha_,impute_performance_std,RMSE,1.6868008345699423,3.170158891368261,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MCAR,0.3,single_single,fAlpha_,impute_performance_std,MAE,0.4031726979864865,0.569610391332693,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MCAR,0.3,single_single,fAlpha_,impute_performance_std,MSE,80.02089013186762,62.59264681105857,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MCAR,0.3,single_single,fAlpha_,impute_performance_std,RMSE,1.6793873204064178,1.2349959983562633,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MCAR,0.5,single_single,fAlpha_,impute_performance_std,MAE,1.2017840276071117,0.7234555297229669,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MCAR,0.5,single_single,fAlpha_,impute_performance_std,MSE,108.49392947468976,72.99361110933118,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MCAR,0.5,single_single,fAlpha_,impute_performance_std,RMSE,2.1324833487896253,1.419433596204138,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MNAR,0.01,single_single,fAlpha_,impute_performance_std,MAE,5.026272572003009,12.710042278564009,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MNAR,0.01,single_single,fAlpha_,impute_performance_std,MSE,152.7599478337476,562.3273279461172,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MNAR,0.01,single_single,fAlpha_,impute_performance_std,RMSE,4.400914001593334,9.801760690185766,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MNAR,0.1,single_single,fAlpha_,impute_performance_std,MAE,5.219725670477539,1.2191163726393817,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MNAR,0.1,single_single,fAlpha_,impute_performance_std,MSE,185.82544465677847,11.505874942359064,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MNAR,0.1,single_single,fAlpha_,impute_performance_std,RMSE,3.796185941724403,0.2910209936645003,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MNAR,0.3,single_single,fAlpha_,impute_performance_std,MAE,3.784388640634728,3.982158426387579,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MNAR,0.3,single_single,fAlpha_,impute_performance_std,MSE,136.4581704338861,119.71369417760816,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MNAR,0.3,single_single,fAlpha_,impute_performance_std,RMSE,3.2365259716299546,3.709833649190346,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MNAR,0.5,single_single,fAlpha_,impute_performance_std,MAE,5.649897121942524,5.811441822144121,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MNAR,0.5,single_single,fAlpha_,impute_performance_std,MSE,339.95163448904424,196.09306444374803,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1120,MNAR,0.5,single_single,fAlpha_,impute_performance_std,RMSE,5.322363676985851,5.930406513466839,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1220,MAR,0.01,single_single,keyword_id,impute_performance_std,MAE,10498.806088718511,28438.288554219394,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1220,MAR,0.01,single_single,keyword_id,impute_performance_std,MSE,2061617665.2837265,10335082273.508053,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1220,MAR,0.01,single_single,keyword_id,impute_performance_std,RMSE,24949.846612265817,45781.27436034563,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1220,MAR,0.1,single_single,keyword_id,impute_performance_std,MAE,29738.602320017235,11275.58254369475,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1220,MAR,0.1,single_single,keyword_id,impute_performance_std,MSE,2774047566.7542124,5552515780.141624,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1220,MAR,0.1,single_single,keyword_id,impute_performance_std,RMSE,16567.62590897598,40928.45622953846,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1220,MAR,0.3,single_single,keyword_id,impute_performance_std,MAE,10944.37075602594,22088.99866393027,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1220,MAR,0.3,single_single,keyword_id,impute_performance_std,MSE,2098570360.9975643,4563411308.706625,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1220,MAR,0.3,single_single,keyword_id,impute_performance_std,RMSE,16809.738279543726,26115.08303123071,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1220,MAR,0.5,single_single,keyword_id,impute_performance_std,MAE,13031.25410356826,6403.28193689569,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1220,MAR,0.5,single_single,keyword_id,impute_performance_std,MSE,4196867366.899557,4218228345.269495,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1220,MAR,0.5,single_single,keyword_id,impute_performance_std,RMSE,26213.40483219295,27628.147752815777,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1220,MCAR,0.01,single_single,keyword_id,impute_performance_std,MAE,9009.897167581912,53352.61813894421,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1220,MCAR,0.01,single_single,keyword_id,impute_performance_std,MSE,4630363671.073376,39502886259.99491,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1220,MCAR,0.01,single_single,keyword_id,impute_performance_std,RMSE,36236.91558642284,101712.60455218154,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1220,MCAR,0.1,single_single,keyword_id,impute_performance_std,MAE,2443.0288293633325,6685.711391396262,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1220,MCAR,0.1,single_single,keyword_id,impute_performance_std,MSE,1181363519.3876555,4121874869.22624,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1220,MCAR,0.1,single_single,keyword_id,impute_performance_std,RMSE,8641.097735705624,28360.8529278642,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1220,MCAR,0.3,single_single,keyword_id,impute_performance_std,MAE,1339.350844696184,2126.0613418864536,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1220,MCAR,0.3,single_single,keyword_id,impute_performance_std,MSE,355638118.7859388,1493566727.1714983,,,
corrupted_binary_experiment_subset,AutoKerasImputer,1220,MCAR,0.3,single_single,keyword_id,impute_performance_std,RMSE,2485.9662580109625,9356.68896752014,,,
