experiment,imputer,task,missing_type,missing_fraction,strategy,column,result_type,metric,train,test,baseline,corrupted,imputed
corrupted_multi_experiment,AutoKerasImputer,1459,MAR,0.01,single_single,V7,impute_performance_std,MAE,1.892547265678668,0.876851503180229,,,
corrupted_multi_experiment,AutoKerasImputer,1459,MAR,0.01,single_single,V7,impute_performance_std,MSE,45.27336982958021,14.425226608139123,,,
corrupted_multi_experiment,AutoKerasImputer,1459,MAR,0.01,single_single,V7,impute_performance_std,RMSE,2.4022710711183133,1.0950465829949527,,,
corrupted_multi_experiment,AutoKerasImputer,1459,MAR,0.1,single_single,V7,impute_performance_std,MAE,1.4052027417152608,0.0633801432110462,,,
corrupted_multi_experiment,AutoKerasImputer,1459,MAR,0.1,single_single,V7,impute_performance_std,MSE,33.1478276735317,3.2832381798844152,,,
corrupted_multi_experiment,AutoKerasImputer,1459,MAR,0.1,single_single,V7,impute_performance_std,RMSE,1.7605754653163166,0.2163395905240547,,,
corrupted_multi_experiment,AutoKerasImputer,1459,MAR,0.3,single_single,V7,impute_performance_std,MAE,0.777814264089061,0.7640220462703229,,,
corrupted_multi_experiment,AutoKerasImputer,1459,MAR,0.3,single_single,V7,impute_performance_std,MSE,23.407405181669453,14.286398220960503,,,
corrupted_multi_experiment,AutoKerasImputer,1459,MAR,0.3,single_single,V7,impute_performance_std,RMSE,1.217111708308944,0.9770052443093904,,,
corrupted_multi_experiment,AutoKerasImputer,1459,MAR,0.5,single_single,V7,impute_performance_std,MAE,1.286465231833699,0.6733031440164137,,,
corrupted_multi_experiment,AutoKerasImputer,1459,MAR,0.5,single_single,V7,impute_performance_std,MSE,34.97257174540079,20.969261722856388,,,
corrupted_multi_experiment,AutoKerasImputer,1459,MAR,0.5,single_single,V7,impute_performance_std,RMSE,1.4861506661314092,1.0620137488246,,,
corrupted_multi_experiment,AutoKerasImputer,1459,MCAR,0.01,single_single,V7,impute_performance_std,MAE,0.610382843131127,0.83187611760681,,,
corrupted_multi_experiment,AutoKerasImputer,1459,MCAR,0.01,single_single,V7,impute_performance_std,MSE,10.90003613447256,7.016352844200938,,,
corrupted_multi_experiment,AutoKerasImputer,1459,MCAR,0.01,single_single,V7,impute_performance_std,RMSE,0.8061534487951941,0.5041356069028484,,,
corrupted_multi_experiment,AutoKerasImputer,1459,MCAR,0.1,single_single,V7,impute_performance_std,MAE,0.1832520867164084,0.2345905375200623,,,
corrupted_multi_experiment,AutoKerasImputer,1459,MCAR,0.1,single_single,V7,impute_performance_std,MSE,2.623600166714988,4.217431780952429,,,
corrupted_multi_experiment,AutoKerasImputer,1459,MCAR,0.1,single_single,V7,impute_performance_std,RMSE,0.1891905612525621,0.2940514055419646,,,
corrupted_multi_experiment,AutoKerasImputer,1459,MCAR,0.3,single_single,V7,impute_performance_std,MAE,0.0860427643796121,0.0746163062301372,,,
corrupted_multi_experiment,AutoKerasImputer,1459,MCAR,0.3,single_single,V7,impute_performance_std,MSE,2.201941377246274,0.413009853934931,,,
corrupted_multi_experiment,AutoKerasImputer,1459,MCAR,0.3,single_single,V7,impute_performance_std,RMSE,0.1656937978047787,0.0303839314586367,,,
corrupted_multi_experiment,AutoKerasImputer,1459,MCAR,0.5,single_single,V7,impute_performance_std,MAE,0.2340249035467319,0.2681449177116574,,,
corrupted_multi_experiment,AutoKerasImputer,1459,MCAR,0.5,single_single,V7,impute_performance_std,MSE,2.9481516217770425,4.418079828342792,,,
corrupted_multi_experiment,AutoKerasImputer,1459,MCAR,0.5,single_single,V7,impute_performance_std,RMSE,0.2152901000433268,0.3150722174979362,,,
corrupted_multi_experiment,AutoKerasImputer,1459,MNAR,0.01,single_single,V7,impute_performance_std,MAE,0.9434795042970868,1.762531256868018,,,
corrupted_multi_experiment,AutoKerasImputer,1459,MNAR,0.01,single_single,V7,impute_performance_std,MSE,17.766435014874045,34.52349162770762,,,
corrupted_multi_experiment,AutoKerasImputer,1459,MNAR,0.01,single_single,V7,impute_performance_std,RMSE,1.3624203210511092,2.1147821544422363,,,
corrupted_multi_experiment,AutoKerasImputer,1459,MNAR,0.1,single_single,V7,impute_performance_std,MAE,4.36916835178411,0.7712650809189692,,,
corrupted_multi_experiment,AutoKerasImputer,1459,MNAR,0.1,single_single,V7,impute_performance_std,MSE,119.51323592692982,13.728993363321152,,,
