experiment,imputer,task,missing_type,missing_fraction,strategy,column,result_type,metric,train,test,baseline,corrupted,imputed
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MAR,0.01,single_single,V7,impute_performance_std,MAE,3.8922566620410937,2.182567974120956,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MAR,0.01,single_single,V7,impute_performance_std,MSE,158.30227179799525,19.773168157750035,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MAR,0.01,single_single,V7,impute_performance_std,RMSE,5.835969206836478,1.733019954051829,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MAR,0.1,single_single,V7,impute_performance_std,MAE,0.9664038198024216,0.7730663065567484,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MAR,0.1,single_single,V7,impute_performance_std,MSE,14.518166957719554,12.685356190013044,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MAR,0.1,single_single,V7,impute_performance_std,RMSE,1.0730300825932635,0.9278996928762184,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MAR,0.3,single_single,V7,impute_performance_std,MAE,1.2038006191612352,0.6308970978754534,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MAR,0.3,single_single,V7,impute_performance_std,MSE,20.940539969715022,10.480655088278816,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MAR,0.3,single_single,V7,impute_performance_std,RMSE,1.3514800690049165,0.7622119810921156,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MAR,0.5,single_single,V7,impute_performance_std,MAE,0.7089864033299712,0.3691201191986066,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MAR,0.5,single_single,V7,impute_performance_std,MSE,15.464976111742669,9.730764753928856,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MAR,0.5,single_single,V7,impute_performance_std,RMSE,0.960802261732284,0.6835466380994389,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MCAR,0.1,single_single,V7,impute_performance_std,MAE,0.7402114776181098,1.3505908740360069,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MCAR,0.1,single_single,V7,impute_performance_std,MSE,12.028262209249844,22.280203004885937,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MCAR,0.1,single_single,V7,impute_performance_std,RMSE,0.902399167408656,1.745584770109456,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MCAR,0.3,single_single,V7,impute_performance_std,MAE,0.693941190946647,0.0365216357163474,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MCAR,0.3,single_single,V7,impute_performance_std,MSE,10.82333368477029,2.938487147337563,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MCAR,0.3,single_single,V7,impute_performance_std,RMSE,0.7484226830683423,0.254935082620821,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MCAR,0.5,single_single,V7,impute_performance_std,MAE,0.6769631063350835,0.6781414507651696,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MCAR,0.5,single_single,V7,impute_performance_std,MSE,7.361888253727673,10.318948026951997,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MCAR,0.5,single_single,V7,impute_performance_std,RMSE,0.5264671902075112,0.7875342271559926,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MNAR,0.01,single_single,V7,impute_performance_std,MAE,1.8918427183723212,1.8360819385897675,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MNAR,0.01,single_single,V7,impute_performance_std,MSE,19.821227624439786,19.149362832472683,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MNAR,0.01,single_single,V7,impute_performance_std,RMSE,1.8002110300299936,1.9728992102945797,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MNAR,0.1,single_single,V7,impute_performance_std,MAE,0.4211738453809774,0.4105269981095122,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MNAR,0.1,single_single,V7,impute_performance_std,MSE,8.622942956901522,3.437432133120445,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MNAR,0.1,single_single,V7,impute_performance_std,RMSE,0.6172603767643469,0.3069442282262084,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MNAR,0.3,single_single,V7,impute_performance_std,MAE,1.7707939156500554,1.6786933360493936,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MNAR,0.3,single_single,V7,impute_performance_std,MSE,31.48423319700849,27.791853228716025,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MNAR,0.3,single_single,V7,impute_performance_std,RMSE,1.912219178130136,1.8092357812203173,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MNAR,0.5,single_single,V7,impute_performance_std,MAE,0.3914955562913351,0.4024887855491404,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MNAR,0.5,single_single,V7,impute_performance_std,MSE,5.563054230824727,5.4812940815556,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1459,MNAR,0.5,single_single,V7,impute_performance_std,RMSE,0.4055922837945469,0.3627418287355089,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1481,MAR,0.01,single_single,V2,impute_performance_std,MAE,0.3298376714999889,0.1651260627049465,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1481,MAR,0.01,single_single,V2,impute_performance_std,MSE,0.5891790032691441,0.1969432577722787,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1481,MAR,0.01,single_single,V2,impute_performance_std,RMSE,0.2930424602029585,0.1676340992755656,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1481,MAR,0.1,single_single,V2,impute_performance_std,MAE,0.1297864260037091,0.1415640298624421,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1481,MAR,0.1,single_single,V2,impute_performance_std,MSE,0.2396450825796462,0.2343591841214069,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1481,MAR,0.1,single_single,V2,impute_performance_std,RMSE,0.127289604012503,0.1341671582563881,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1481,MAR,0.3,single_single,V2,impute_performance_std,MAE,0.112298445926372,0.1533132855655989,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1481,MAR,0.3,single_single,V2,impute_performance_std,MSE,0.2030547245875713,0.305778937800205,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1481,MAR,0.3,single_single,V2,impute_performance_std,RMSE,0.1151829231011083,0.155230424353517,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1481,MAR,0.5,single_single,V2,impute_performance_std,MAE,0.0971609723803836,0.1070010907403325,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1481,MAR,0.5,single_single,V2,impute_performance_std,MSE,0.2978616239138359,0.2576766124002565,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1481,MAR,0.5,single_single,V2,impute_performance_std,RMSE,0.1557861196961651,0.1294678518359589,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1481,MCAR,0.01,single_single,V2,impute_performance_std,MAE,0.1040330222158599,0.2081789145483543,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1481,MCAR,0.01,single_single,V2,impute_performance_std,MSE,0.1377395182732579,0.6962219915979462,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1481,MCAR,0.01,single_single,V2,impute_performance_std,RMSE,0.0830096567746711,0.2903596109842764,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1481,MCAR,0.1,single_single,V2,impute_performance_std,MAE,0.0167090457333081,0.0363907702040918,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1481,MCAR,0.1,single_single,V2,impute_performance_std,MSE,0.0163777388304004,0.086263688554941,,,
corrupted_multi_experiment_subset,AutoKerasImputer,1481,MCAR,0.1,single_single,V2,impute_performance_std,RMSE,0.0099570251739747,0.0461619950653452,,,
