experiment,imputer,task,missing_type,missing_fraction,strategy,column,result_type,metric,train,test,baseline,corrupted,imputed
corrupted_regression_experiment,AutoKerasImputer,1193,MAR,0.01,single_single,UI,impute_performance_std,F1_micro,0.0184781278022412,0.0161290322580645,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MAR,0.01,single_single,UI,impute_performance_std,F1_macro,0.0054117035452863,0.1046073220101282,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MAR,0.01,single_single,UI,impute_performance_std,F1_weighted,0.0221869094151133,0.0393659450154187,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MAR,0.1,single_single,UI,impute_performance_std,F1_micro,0.0050254553412409,0.0136734735500247,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MAR,0.1,single_single,UI,impute_performance_std,F1_macro,0.0044497907795138,0.0087270460812452,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MAR,0.1,single_single,UI,impute_performance_std,F1_weighted,0.0066548175077193,0.0212088701312654,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MAR,0.3,single_single,UI,impute_performance_std,F1_micro,0.0149456286430213,0.0237396740181706,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MAR,0.3,single_single,UI,impute_performance_std,F1_macro,0.0048215226488896,0.012393035251361,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MAR,0.3,single_single,UI,impute_performance_std,F1_weighted,0.0149554055798721,0.0254605598327267,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MAR,0.5,single_single,UI,impute_performance_std,F1_micro,0.0078695213875669,0.0040714726502084,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MAR,0.5,single_single,UI,impute_performance_std,F1_macro,0.0056352437902914,0.0087341000853189,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MAR,0.5,single_single,UI,impute_performance_std,F1_weighted,0.0084620815102575,0.0067121701373949,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MCAR,0.01,single_single,UI,impute_performance_std,F1_micro,0.0069840758369712,0.0186242022319234,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MCAR,0.01,single_single,UI,impute_performance_std,F1_macro,0.0020522713387086,0.0506969770952736,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MCAR,0.01,single_single,UI,impute_performance_std,F1_weighted,0.0125633916233542,0.0307093230445978,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MCAR,0.1,single_single,UI,impute_performance_std,F1_micro,0.0051209846874641,0.0184945701251205,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MCAR,0.1,single_single,UI,impute_performance_std,F1_macro,0.0168649242460774,0.0133854260390809,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MCAR,0.1,single_single,UI,impute_performance_std,F1_weighted,0.0043268461577563,0.0225396614191048,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MCAR,0.3,single_single,UI,impute_performance_std,F1_micro,0.005100497154437,0.0085967912936877,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MCAR,0.3,single_single,UI,impute_performance_std,F1_macro,0.0151725285216396,0.0196446842507632,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MCAR,0.3,single_single,UI,impute_performance_std,F1_weighted,0.0036265577773005,0.0040513505751428,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MCAR,0.5,single_single,UI,impute_performance_std,F1_micro,0.0035521870901027,0.0025113343009345,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MCAR,0.5,single_single,UI,impute_performance_std,F1_macro,0.004699883852666,0.0053470451252057,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MCAR,0.5,single_single,UI,impute_performance_std,F1_weighted,0.0023712436395576,0.0052407980897224,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MNAR,0.01,single_single,UI,impute_performance_std,F1_micro,0.569205751292879,0.5634398341942558,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MNAR,0.01,single_single,UI,impute_performance_std,F1_macro,0.5693211990546161,0.4921122764280657,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MNAR,0.01,single_single,UI,impute_performance_std,F1_weighted,0.5612990725486668,0.5566895789036516,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MNAR,0.1,single_single,UI,impute_performance_std,F1_micro,0.530900477582787,0.0165003261718549,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MNAR,0.1,single_single,UI,impute_performance_std,F1_macro,0.2569143221920141,0.291747277118637,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MNAR,0.1,single_single,UI,impute_performance_std,F1_weighted,0.5655335925456833,0.0083922292772049,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MNAR,0.3,single_single,UI,impute_performance_std,F1_micro,0.1785035744324095,0.287136109899463,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MNAR,0.3,single_single,UI,impute_performance_std,F1_macro,0.0520858447724858,0.0928462908988136,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MNAR,0.3,single_single,UI,impute_performance_std,F1_weighted,0.2527894753699354,0.3822324433475364,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MNAR,0.5,single_single,UI,impute_performance_std,F1_micro,0.1460841931308678,0.1835777273371409,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MNAR,0.5,single_single,UI,impute_performance_std,F1_macro,0.043870164995951,0.0080226148231373,,,
corrupted_regression_experiment,AutoKerasImputer,1193,MNAR,0.5,single_single,UI,impute_performance_std,F1_weighted,0.1154118778214819,0.1401898202855842,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MAR,0.01,single_single,wall_index,impute_performance_std,MAE,0.0176100267051183,0.0508771496017852,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MAR,0.01,single_single,wall_index,impute_performance_std,MSE,0.0125073488509323,0.0687970981693638,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MAR,0.01,single_single,wall_index,impute_performance_std,RMSE,0.0155444106019787,0.0754249560671325,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MAR,0.1,single_single,wall_index,impute_performance_std,MAE,0.0455494599486847,0.0200448282827408,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MAR,0.1,single_single,wall_index,impute_performance_std,MSE,0.0419676230480423,0.019739133110411,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MAR,0.1,single_single,wall_index,impute_performance_std,RMSE,0.0552868744776425,0.0243610492355561,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MAR,0.3,single_single,wall_index,impute_performance_std,MAE,0.0140801521423333,0.0160191973426688,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MAR,0.3,single_single,wall_index,impute_performance_std,MSE,0.01701484211525,0.0164539144022885,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MAR,0.3,single_single,wall_index,impute_performance_std,RMSE,0.0199645790282794,0.020804809597201,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MAR,0.5,single_single,wall_index,impute_performance_std,MAE,0.019942851770507,0.0154758557660394,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MAR,0.5,single_single,wall_index,impute_performance_std,MSE,0.0084921711325277,0.0088263011378631,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MAR,0.5,single_single,wall_index,impute_performance_std,RMSE,0.0104591511104553,0.0109893117230078,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MCAR,0.01,single_single,wall_index,impute_performance_std,MAE,0.0312191030859402,0.0510877408610214,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MCAR,0.01,single_single,wall_index,impute_performance_std,MSE,0.0362958813665406,0.0510789755444635,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MCAR,0.01,single_single,wall_index,impute_performance_std,RMSE,0.0450439168135377,0.0505635477413095,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MCAR,0.1,single_single,wall_index,impute_performance_std,MAE,0.0127961368717887,0.0115326873284905,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MCAR,0.1,single_single,wall_index,impute_performance_std,MSE,0.0111113421669274,0.0151324198703228,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MCAR,0.1,single_single,wall_index,impute_performance_std,RMSE,0.0136790893721008,0.0185157068833184,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MCAR,0.3,single_single,wall_index,impute_performance_std,MAE,0.006016065462272,0.0025859934824686,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MCAR,0.3,single_single,wall_index,impute_performance_std,MSE,0.0033711581567671,0.0055424111206885,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MCAR,0.3,single_single,wall_index,impute_performance_std,RMSE,0.0040698052304266,0.0067942974567376,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MCAR,0.5,single_single,wall_index,impute_performance_std,MAE,0.0051708664351609,0.007479520057227,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MCAR,0.5,single_single,wall_index,impute_performance_std,MSE,0.0025245165849131,0.0081262636888349,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MCAR,0.5,single_single,wall_index,impute_performance_std,RMSE,0.0030051162021884,0.0098680276029498,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MNAR,0.01,single_single,wall_index,impute_performance_std,MAE,0.5514408903111734,0.060212268642647,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MNAR,0.01,single_single,wall_index,impute_performance_std,MSE,0.6698748785066814,0.028916153792123,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MNAR,0.01,single_single,wall_index,impute_performance_std,RMSE,0.5444440415906628,0.051379827801035,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MNAR,0.1,single_single,wall_index,impute_performance_std,MAE,0.1371249065880008,0.0867881839628334,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MNAR,0.1,single_single,wall_index,impute_performance_std,MSE,0.0748564971014853,0.041766166077922,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MNAR,0.1,single_single,wall_index,impute_performance_std,RMSE,0.1272400462159763,0.0758196687983212,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MNAR,0.3,single_single,wall_index,impute_performance_std,MAE,0.0252272578365271,0.078472953303005,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MNAR,0.3,single_single,wall_index,impute_performance_std,MSE,0.0105881510961285,0.0392282570874038,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MNAR,0.3,single_single,wall_index,impute_performance_std,RMSE,0.0208545217639274,0.0629615846716579,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MNAR,0.5,single_single,wall_index,impute_performance_std,MAE,0.1698634370198193,0.0092672788192435,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MNAR,0.5,single_single,wall_index,impute_performance_std,MSE,0.127637256349277,0.009137712592518,,,
corrupted_regression_experiment,AutoKerasImputer,1199,MNAR,0.5,single_single,wall_index,impute_performance_std,RMSE,0.1558917772008722,0.0135318973675354,,,
corrupted_regression_experiment,AutoKerasImputer,1200,MAR,0.01,single_single,company1,impute_performance_std,MAE,0.3271956011293719,0.2819215454422895,,,
corrupted_regression_experiment,AutoKerasImputer,1200,MAR,0.01,single_single,company1,impute_performance_std,MSE,8.909639167306093,5.038451226237052,,,
corrupted_regression_experiment,AutoKerasImputer,1200,MAR,0.01,single_single,company1,impute_performance_std,RMSE,0.701692347651777,0.4630370630972281,,,
corrupted_regression_experiment,AutoKerasImputer,1200,MAR,0.1,single_single,company1,impute_performance_std,MAE,0.1270441220119983,0.0977784702132472,,,
corrupted_regression_experiment,AutoKerasImputer,1200,MAR,0.1,single_single,company1,impute_performance_std,MSE,1.310540637650505,0.7821798020809231,,,
corrupted_regression_experiment,AutoKerasImputer,1200,MAR,0.1,single_single,company1,impute_performance_std,RMSE,0.1102560702561131,0.0653194775315142,,,
corrupted_regression_experiment,AutoKerasImputer,1200,MAR,0.3,single_single,company1,impute_performance_std,MAE,0.0798222493916017,0.0283076049373128,,,
corrupted_regression_experiment,AutoKerasImputer,1200,MAR,0.3,single_single,company1,impute_performance_std,MSE,1.426309184415364,1.510539145476519,,,
corrupted_regression_experiment,AutoKerasImputer,1200,MAR,0.3,single_single,company1,impute_performance_std,RMSE,0.115517782865563,0.1236963695253357,,,
corrupted_regression_experiment,AutoKerasImputer,1200,MAR,0.5,single_single,company1,impute_performance_std,MAE,0.2880124295294525,0.1847650918966754,,,
corrupted_regression_experiment,AutoKerasImputer,1200,MAR,0.5,single_single,company1,impute_performance_std,MSE,3.5054323295736936,2.3243592129756694,,,
corrupted_regression_experiment,AutoKerasImputer,1200,MAR,0.5,single_single,company1,impute_performance_std,RMSE,0.2721578658489557,0.1824629726746123,,,
corrupted_regression_experiment,AutoKerasImputer,1200,MCAR,0.01,single_single,company1,impute_performance_std,MAE,0.2582443875322761,0.1636700805196182,,,
