,Imputation_Method,Task,Missing Type,Missing Fraction,Column,result_type,metric,Baseline,Corrupted,Imputed,Unnamed: 0,name,MajorityClassSize,MinorityClassSize,NumberOfFeatures,NumberOfInstances,NumberOfNumericFeatures,NumberOfCategoricalFeatures,NumberOfClasses,Downstream Performance Rank,Data_Constellation
1,KNN,6,MAR,0.01,x-box,downstream_performance_mean,F1_macro,0.7261880604753267,0.0,0.7261210145212299,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0,MAR - 0.01
3,KNN,6,MAR,0.1,x-box,downstream_performance_mean,F1_macro,0.7261880604753267,0.0,0.7261210145212299,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0,MAR - 0.1
5,KNN,6,MAR,0.3,x-box,downstream_performance_mean,F1_macro,0.7261880604753267,0.0,0.7261210145212299,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0,MAR - 0.3
7,KNN,6,MAR,0.5,x-box,downstream_performance_mean,F1_macro,0.7261880604753267,0.0,0.7261210145212299,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0,MAR - 0.5
9,KNN,6,MCAR,0.01,x-box,downstream_performance_mean,F1_macro,0.7255698128683613,0.0,0.7261118590341087,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0,MCAR - 0.01
11,KNN,6,MCAR,0.1,x-box,downstream_performance_mean,F1_macro,0.7197279850515569,0.0,0.7195114837515497,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0,MCAR - 0.1
13,KNN,6,MCAR,0.3,x-box,downstream_performance_mean,F1_macro,0.7038475449039708,0.0,0.7031120154811085,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0,MCAR - 0.3
15,Mean/Mode,6,MCAR,0.5,x-box,downstream_performance_mean,F1_macro,0.6850645867968298,0.0,0.6862314505334726,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0,MCAR - 0.5
17,KNN,6,MNAR,0.01,x-box,downstream_performance_mean,F1_macro,0.7261880604753267,0.0,0.7261210145212299,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0,MNAR - 0.01
19,KNN,6,MNAR,0.1,x-box,downstream_performance_mean,F1_macro,0.7261880604753267,0.0,0.7261210145212299,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0,MNAR - 0.1
21,KNN,6,MNAR,0.3,x-box,downstream_performance_mean,F1_macro,0.7261880604753267,0.0,0.7261210145212299,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0,MNAR - 0.3
