,Imputation_Method,Task,Missing Type,Missing Fraction,Column,result_type,metric,Baseline,Corrupted,Imputed,Unnamed: 0,name,MajorityClassSize,MinorityClassSize,NumberOfFeatures,NumberOfInstances,NumberOfNumericFeatures,NumberOfCategoricalFeatures,NumberOfClasses,Downstream Performance Rank
0,Mean/Mode,6,MAR,0.01,x-box,downstream_performance_mean,F1_macro,0.7257284438763859,0.0,0.7256613979222889,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,2.0
1,KNN,6,MAR,0.01,x-box,downstream_performance_mean,F1_macro,0.7261880604753267,0.0,0.7261210145212299,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0
2,Mean/Mode,6,MAR,0.1,x-box,downstream_performance_mean,F1_macro,0.7257284438763859,0.0,0.7256613979222889,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,2.0
3,KNN,6,MAR,0.1,x-box,downstream_performance_mean,F1_macro,0.7261880604753267,0.0,0.7261210145212299,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0
4,Mean/Mode,6,MAR,0.3,x-box,downstream_performance_mean,F1_macro,0.7257284438763859,0.0,0.7256613979222889,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,2.0
5,KNN,6,MAR,0.3,x-box,downstream_performance_mean,F1_macro,0.7261880604753267,0.0,0.7261210145212299,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0
6,Mean/Mode,6,MAR,0.5,x-box,downstream_performance_mean,F1_macro,0.7257284438763859,0.0,0.7256613979222889,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,2.0
7,KNN,6,MAR,0.5,x-box,downstream_performance_mean,F1_macro,0.7261880604753267,0.0,0.7261210145212299,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0
8,Mean/Mode,6,MCAR,0.01,x-box,downstream_performance_mean,F1_macro,0.7250825308761927,0.0,0.7257675134138744,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,2.0
9,KNN,6,MCAR,0.01,x-box,downstream_performance_mean,F1_macro,0.7255698128683613,0.0,0.7261118590341087,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0
10,Mean/Mode,6,MCAR,0.1,x-box,downstream_performance_mean,F1_macro,0.7183381131890813,0.0,0.7179074173261641,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,2.0
11,KNN,6,MCAR,0.1,x-box,downstream_performance_mean,F1_macro,0.7197279850515569,0.0,0.7195114837515497,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0
12,Mean/Mode,6,MCAR,0.3,x-box,downstream_performance_mean,F1_macro,0.7016994124231531,0.0,0.7009488720542635,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,2.0
13,KNN,6,MCAR,0.3,x-box,downstream_performance_mean,F1_macro,0.7038475449039708,0.0,0.7031120154811085,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0
14,KNN,6,MCAR,0.5,x-box,downstream_performance_mean,F1_macro,0.6846407709037226,0.0,0.685614398939144,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,2.0
15,Mean/Mode,6,MCAR,0.5,x-box,downstream_performance_mean,F1_macro,0.6850645867968298,0.0,0.6862314505334726,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0
16,Mean/Mode,6,MNAR,0.01,x-box,downstream_performance_mean,F1_macro,0.7257284438763859,0.0,0.7256613979222889,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,2.0
17,KNN,6,MNAR,0.01,x-box,downstream_performance_mean,F1_macro,0.7261880604753267,0.0,0.7261210145212299,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0
18,Mean/Mode,6,MNAR,0.1,x-box,downstream_performance_mean,F1_macro,0.7257284438763859,0.0,0.7256613979222889,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,2.0
19,KNN,6,MNAR,0.1,x-box,downstream_performance_mean,F1_macro,0.7261880604753267,0.0,0.7261210145212299,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0
20,Mean/Mode,6,MNAR,0.3,x-box,downstream_performance_mean,F1_macro,0.7257284438763859,0.0,0.7256613979222889,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,2.0
21,KNN,6,MNAR,0.3,x-box,downstream_performance_mean,F1_macro,0.7261880604753267,0.0,0.7261210145212299,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0
22,Mean/Mode,6,MNAR,0.5,x-box,downstream_performance_mean,F1_macro,0.7257284438763859,0.0,0.7256613979222889,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,2.0
23,KNN,6,MNAR,0.5,x-box,downstream_performance_mean,F1_macro,0.7261880604753267,0.0,0.7261210145212299,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0
24,Mean/Mode,26,MAR,0.01,parents,downstream_performance_mean,F1_macro,0.5567671915139761,0.0,0.5567671915139761,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,1.0
25,KNN,26,MAR,0.01,parents,downstream_performance_mean,F1_macro,0.5567671915139761,0.0,0.5567671915139761,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,2.0
26,Mean/Mode,26,MAR,0.1,parents,downstream_performance_mean,F1_macro,0.5567671915139761,0.0,0.5567671915139761,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,1.0
27,KNN,26,MAR,0.1,parents,downstream_performance_mean,F1_macro,0.5567671915139761,0.0,0.5567671915139761,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,2.0
28,Mean/Mode,26,MAR,0.3,parents,downstream_performance_mean,F1_macro,0.5567671915139761,0.0,0.5567671915139761,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,1.0
29,KNN,26,MAR,0.3,parents,downstream_performance_mean,F1_macro,0.5567671915139761,0.0,0.5567671915139761,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,2.0
30,Mean/Mode,26,MAR,0.5,parents,downstream_performance_mean,F1_macro,0.5567671915139761,0.0,0.5567671915139761,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,1.0
31,KNN,26,MAR,0.5,parents,downstream_performance_mean,F1_macro,0.5567671915139761,0.0,0.5567671915139761,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,2.0
32,Mean/Mode,26,MCAR,0.01,parents,downstream_performance_mean,F1_macro,0.5565556221610825,0.0,0.5566954543554619,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,1.0
33,KNN,26,MCAR,0.01,parents,downstream_performance_mean,F1_macro,0.5565556221610825,0.0,0.5566954543554619,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,2.0
34,KNN,26,MCAR,0.1,parents,downstream_performance_mean,F1_macro,0.5841115771554549,0.0,0.5740437373812383,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,2.0
35,Mean/Mode,26,MCAR,0.1,parents,downstream_performance_mean,F1_macro,0.5902341437497941,0.0,0.5835455172794435,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,1.0
36,KNN,26,MCAR,0.3,parents,downstream_performance_mean,F1_macro,0.5411594117885712,0.0,0.5332952216333573,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,2.0
37,Mean/Mode,26,MCAR,0.3,parents,downstream_performance_mean,F1_macro,0.5832024929043039,0.0,0.5722873101488385,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,1.0
38,Mean/Mode,26,MCAR,0.5,parents,downstream_performance_mean,F1_macro,0.5397910222059906,0.0,0.542446960882267,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,2.0
39,KNN,26,MCAR,0.5,parents,downstream_performance_mean,F1_macro,0.5469098487362369,0.0,0.5556448011900321,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,1.0
40,Mean/Mode,26,MNAR,0.01,parents,downstream_performance_mean,F1_macro,0.5567671915139761,0.0,0.5567671915139761,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,1.0
41,KNN,26,MNAR,0.01,parents,downstream_performance_mean,F1_macro,0.5567671915139761,0.0,0.5567671915139761,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,2.0
