,Imputation_Method_average,Imputed_average,Data_Constellation,Downstream Performance Rank Average,Imputation_Method_best,Imputed_best,Downstream Performance Rank Best,Performance Difference Best to Average,Performance Difference Best to Average in Percentage
0,Random Forest,0.7898098052587711,MAR - 0.01 - 310,2.0,KNN,0.7898098052587711,1.0,0.0,0.0
1,Random Forest,0.7898098052587711,MAR - 0.1 - 310,2.0,KNN,0.7898098052587711,1.0,0.0,0.0
2,Random Forest,0.7898098052587711,MAR - 0.3 - 310,2.0,KNN,0.7898098052587711,1.0,0.0,0.0
3,Random Forest,0.7898098052587711,MAR - 0.5 - 310,2.0,KNN,0.7898098052587711,1.0,0.0,0.0
4,Random Forest,0.7741430662830027,MCAR - 0.01 - 310,3.0,Mean/Mode,0.7741430662830027,1.0,0.0,0.0
5,Random Forest,0.7734406160735102,MCAR - 0.1 - 310,1.0,Random Forest,0.7734406160735102,1.0,0.0,0.0
6,Random Forest,0.7754201266007397,MCAR - 0.3 - 310,3.0,Mean/Mode,0.7786387363541465,1.0,0.0032186097534068203,0.4133636824283178
7,Random Forest,0.7620304112037815,MCAR - 0.5 - 310,2.0,KNN,0.7873956061573368,1.0,0.02536519495355538,3.2214041779256415
8,Random Forest,0.7898098052587711,MNAR - 0.01 - 310,2.0,KNN,0.7898098052587711,1.0,0.0,0.0
9,Random Forest,0.7898098052587711,MNAR - 0.1 - 310,2.0,KNN,0.7898098052587711,1.0,0.0,0.0
10,Random Forest,0.7898098052587711,MNAR - 0.3 - 310,2.0,KNN,0.7898098052587711,1.0,0.0,0.0
11,Random Forest,0.7898098052587711,MNAR - 0.5 - 310,2.0,KNN,0.7898098052587711,1.0,0.0,0.0
12,Random Forest,0.930702416023045,MAR - 0.01 - 725,2.0,KNN,0.930702416023045,1.0,0.0,0.0
13,Random Forest,0.930702416023045,MAR - 0.1 - 725,2.0,KNN,0.930702416023045,1.0,0.0,0.0
14,Random Forest,0.930702416023045,MAR - 0.3 - 725,2.0,KNN,0.930702416023045,1.0,0.0,0.0
15,Random Forest,0.930702416023045,MAR - 0.5 - 725,2.0,KNN,0.930702416023045,1.0,0.0,0.0
16,Random Forest,0.929231537879561,MCAR - 0.01 - 725,4.0,Mean/Mode,0.9309247532974472,1.0,0.0016932154178861403,0.18188531477851116
17,Random Forest,0.9259674971951296,MCAR - 0.1 - 725,3.0,KNN,0.9283710457557678,1.0,0.00240354856063818,0.2588995608627045
18,Random Forest,0.9164497242869027,MCAR - 0.3 - 725,2.0,Mean/Mode,0.9181491326719642,1.0,0.0016994083850614405,0.1850906704138449
19,Random Forest,0.9136605179346152,MCAR - 0.5 - 725,1.0,Random Forest,0.9136605179346152,1.0,0.0,0.0
20,Random Forest,0.930702416023045,MNAR - 0.01 - 725,2.0,KNN,0.930702416023045,1.0,0.0,0.0
21,Random Forest,0.930702416023045,MNAR - 0.1 - 725,2.0,KNN,0.930702416023045,1.0,0.0,0.0
22,Random Forest,0.930702416023045,MNAR - 0.3 - 725,2.0,KNN,0.930702416023045,1.0,0.0,0.0
