,Imputation_Method_average,Imputed_average,Data_Constellation,Downstream Performance Rank Average,Imputation_Method_best,Imputed_best,Downstream Performance Rank Best,Performance Difference Best to Average
0,Random Forest,0.7898098052587711,MAR - 0.01 - 310,3.0,Mean/Mode,0.78014742014742,1.0,-0.00966238511135109
1,Random Forest,0.7898098052587711,MAR - 0.1 - 310,4.0,Mean/Mode,0.78014742014742,1.0,-0.00966238511135109
2,Random Forest,0.7898098052587711,MAR - 0.3 - 310,3.0,Mean/Mode,0.78014742014742,1.0,-0.00966238511135109
3,Random Forest,0.7898098052587711,MAR - 0.5 - 310,4.0,Mean/Mode,0.78014742014742,1.0,-0.00966238511135109
4,Random Forest,0.7741430662830027,MCAR - 0.01 - 310,3.0,Mean/Mode,0.7741430662830027,1.0,0.0
5,Random Forest,0.7734406160735102,MCAR - 0.1 - 310,4.0,Mean/Mode,0.7701326276306365,1.0,-0.0033079884428737216
6,Random Forest,0.7754201266007397,MCAR - 0.3 - 310,2.0,VAE,0.7703522836221843,1.0,-0.005067842978555337
7,Random Forest,0.7620304112037815,MCAR - 0.5 - 310,3.0,VAE,0.7446720574881449,1.0,-0.017358353715636543
8,Random Forest,0.7898098052587711,MNAR - 0.01 - 310,4.0,Mean/Mode,0.78014742014742,1.0,-0.00966238511135109
9,Random Forest,0.7898098052587711,MNAR - 0.1 - 310,4.0,Mean/Mode,0.78014742014742,1.0,-0.00966238511135109
10,Random Forest,0.7898098052587711,MNAR - 0.3 - 310,4.0,Mean/Mode,0.78014742014742,1.0,-0.00966238511135109
11,Random Forest,0.7898098052587711,MNAR - 0.5 - 310,4.0,Mean/Mode,0.78014742014742,1.0,-0.00966238511135109
12,Random Forest,0.930702416023045,MAR - 0.01 - 725,4.0,Mean/Mode,0.9298698691784674,1.0,-0.0008325468445776751
13,Random Forest,0.930702416023045,MAR - 0.1 - 725,3.0,Mean/Mode,0.9298698691784674,1.0,-0.0008325468445776751
14,Random Forest,0.930702416023045,MAR - 0.3 - 725,3.0,Mean/Mode,0.9298698691784674,1.0,-0.0008325468445776751
15,Random Forest,0.930702416023045,MAR - 0.5 - 725,3.0,Mean/Mode,0.9298698691784674,1.0,-0.0008325468445776751
16,Random Forest,0.929231537879561,MCAR - 0.01 - 725,1.0,Random Forest,0.929231537879561,1.0,0.0
17,Random Forest,0.9259674971951296,MCAR - 0.1 - 725,2.0,VAE,0.9246459700049257,1.0,-0.0013215271902039527
18,Random Forest,0.9164497242869027,MCAR - 0.3 - 725,3.0,VAE,0.9148070353809422,1.0,-0.001642688905960532
19,Random Forest,0.9136605179346152,MCAR - 0.5 - 725,4.0,VAE,0.906852399794515,1.0,-0.006808118140100183
20,Random Forest,0.930702416023045,MNAR - 0.01 - 725,3.0,Mean/Mode,0.9298698691784674,1.0,-0.0008325468445776751
21,Random Forest,0.930702416023045,MNAR - 0.1 - 725,3.0,Mean/Mode,0.9298698691784674,1.0,-0.0008325468445776751
22,Random Forest,0.930702416023045,MNAR - 0.3 - 725,3.0,Mean/Mode,0.9298698691784674,1.0,-0.0008325468445776751
23,Random Forest,0.930702416023045,MNAR - 0.5 - 725,3.0,Mean/Mode,0.9298698691784674,1.0,-0.0008325468445776751
24,Random Forest,0.9891594931294444,MAR - 0.01 - 728,3.0,Mean/Mode,0.9891594931294444,1.0,0.0
