,Imputation_Method,Task,Missing Type,Missing Fraction,Column,result_type,metric,Baseline,Corrupted,Imputed,Unnamed: 0,name,MajorityClassSize,MinorityClassSize,NumberOfFeatures,NumberOfInstances,NumberOfNumericFeatures,NumberOfCategoricalFeatures,NumberOfClasses,Downstream Performance Rank,Data_Constellation
0,Mean/Mode,6,MAR,0.01,x-box,downstream_performance_mean,Classification Tasks,0.7257284438763859,0.0,0.7256613979222889,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0,MAR - 0.01
2,Mean/Mode,6,MAR,0.1,x-box,downstream_performance_mean,Classification Tasks,0.7257284438763859,0.0,0.7256613979222889,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0,MAR - 0.1
4,Mean/Mode,6,MAR,0.3,x-box,downstream_performance_mean,Classification Tasks,0.7257284438763859,0.0,0.7256613979222889,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0,MAR - 0.3
6,Mean/Mode,6,MAR,0.5,x-box,downstream_performance_mean,Classification Tasks,0.7257284438763859,0.0,0.7256613979222889,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0,MAR - 0.5
8,Mean/Mode,6,MCAR,0.01,x-box,downstream_performance_mean,Classification Tasks,0.7250825308761927,0.0,0.7257675134138744,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0,MCAR - 0.01
10,Mean/Mode,6,MCAR,0.1,x-box,downstream_performance_mean,Classification Tasks,0.7183381131890813,0.0,0.7179074173261641,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0,MCAR - 0.1
12,Mean/Mode,6,MCAR,0.3,x-box,downstream_performance_mean,Classification Tasks,0.7016994124231531,0.0,0.7009488720542635,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0,MCAR - 0.3
14,KNN,6,MCAR,0.5,x-box,downstream_performance_mean,Classification Tasks,0.6846407709037226,0.0,0.685614398939144,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0,MCAR - 0.5
16,Mean/Mode,6,MNAR,0.01,x-box,downstream_performance_mean,Classification Tasks,0.7257284438763859,0.0,0.7256613979222889,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0,MNAR - 0.01
18,Mean/Mode,6,MNAR,0.1,x-box,downstream_performance_mean,Classification Tasks,0.7257284438763859,0.0,0.7256613979222889,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0,MNAR - 0.1
20,Mean/Mode,6,MNAR,0.3,x-box,downstream_performance_mean,Classification Tasks,0.7257284438763859,0.0,0.7256613979222889,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0,MNAR - 0.3
22,Mean/Mode,6,MNAR,0.5,x-box,downstream_performance_mean,Classification Tasks,0.7257284438763859,0.0,0.7256613979222889,59,letter,813.0,734.0,17.0,20000.0,16.0,1.0,26.0,1.0,MNAR - 0.5
24,Mean/Mode,26,MAR,0.01,parents,downstream_performance_mean,Classification Tasks,0.5567671915139761,0.0,0.5567671915139761,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,1.0,MAR - 0.01
26,Mean/Mode,26,MAR,0.1,parents,downstream_performance_mean,Classification Tasks,0.5567671915139761,0.0,0.5567671915139761,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,1.0,MAR - 0.1
28,Mean/Mode,26,MAR,0.3,parents,downstream_performance_mean,Classification Tasks,0.5567671915139761,0.0,0.5567671915139761,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,1.0,MAR - 0.3
30,Mean/Mode,26,MAR,0.5,parents,downstream_performance_mean,Classification Tasks,0.5567671915139761,0.0,0.5567671915139761,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,1.0,MAR - 0.5
32,Mean/Mode,26,MCAR,0.01,parents,downstream_performance_mean,Classification Tasks,0.5565556221610825,0.0,0.5566954543554619,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,1.0,MCAR - 0.01
34,KNN,26,MCAR,0.1,parents,downstream_performance_mean,Classification Tasks,0.5841115771554549,0.0,0.5740437373812383,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,1.0,MCAR - 0.1
36,KNN,26,MCAR,0.3,parents,downstream_performance_mean,Classification Tasks,0.5411594117885712,0.0,0.5332952216333573,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,1.0,MCAR - 0.3
38,Mean/Mode,26,MCAR,0.5,parents,downstream_performance_mean,Classification Tasks,0.5397910222059906,0.0,0.542446960882267,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,1.0,MCAR - 0.5
40,Mean/Mode,26,MNAR,0.01,parents,downstream_performance_mean,Classification Tasks,0.5567671915139761,0.0,0.5567671915139761,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,1.0,MNAR - 0.01
42,Mean/Mode,26,MNAR,0.1,parents,downstream_performance_mean,Classification Tasks,0.5567671915139761,0.0,0.5567671915139761,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,1.0,MNAR - 0.1
44,Mean/Mode,26,MNAR,0.3,parents,downstream_performance_mean,Classification Tasks,0.5567671915139761,0.0,0.5567671915139761,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,1.0,MNAR - 0.3
46,Mean/Mode,26,MNAR,0.5,parents,downstream_performance_mean,Classification Tasks,0.5567671915139761,0.0,0.5567671915139761,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,1.0,MNAR - 0.5
48,KNN,30,MAR,0.01,eccen,downstream_performance_mean,Classification Tasks,0.6808624480020361,0.0,0.6808624480020361,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0,MAR - 0.01
50,KNN,30,MAR,0.1,eccen,downstream_performance_mean,Classification Tasks,0.6808624480020361,0.0,0.6808624480020361,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0,MAR - 0.1
52,KNN,30,MAR,0.3,eccen,downstream_performance_mean,Classification Tasks,0.6808624480020361,0.0,0.6808624480020361,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0,MAR - 0.3
54,KNN,30,MAR,0.5,eccen,downstream_performance_mean,Classification Tasks,0.6808624480020361,0.0,0.6808624480020361,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0,MAR - 0.5
56,KNN,30,MCAR,0.01,eccen,downstream_performance_mean,Classification Tasks,0.729500171834268,0.0,0.7354299899595976,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0,MCAR - 0.01
58,KNN,30,MCAR,0.1,eccen,downstream_performance_mean,Classification Tasks,0.6898653763326851,0.0,0.6829631651392223,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0,MCAR - 0.1
60,Mean/Mode,30,MCAR,0.3,eccen,downstream_performance_mean,Classification Tasks,0.6479933678644966,0.0,0.6860457714414109,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0,MCAR - 0.3
62,Mean/Mode,30,MCAR,0.5,eccen,downstream_performance_mean,Classification Tasks,0.6984789906653478,0.0,0.6942905330510366,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0,MCAR - 0.5
64,KNN,30,MNAR,0.01,eccen,downstream_performance_mean,Classification Tasks,0.6808624480020361,0.0,0.6808624480020361,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0,MNAR - 0.01
66,KNN,30,MNAR,0.1,eccen,downstream_performance_mean,Classification Tasks,0.6808624480020361,0.0,0.6808624480020361,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0,MNAR - 0.1
68,KNN,30,MNAR,0.3,eccen,downstream_performance_mean,Classification Tasks,0.6808624480020361,0.0,0.6808624480020361,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0,MNAR - 0.3
70,KNN,30,MNAR,0.5,eccen,downstream_performance_mean,Classification Tasks,0.6808624480020361,0.0,0.6808624480020361,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0,MNAR - 0.5
72,Mean/Mode,32,MAR,0.01,input4,downstream_performance_mean,Classification Tasks,0.930640543502102,0.0,0.9309305664974702,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0,MAR - 0.01
