experiment,imputer,task,missing_type,missing_fraction,strategy,column,result_type,metric,train,test,baseline,corrupted,imputed
test_imputed_corrupted,ForestImputer,1459,MCAR,0.5,single_single,V7,impute_performance_std,MAE,0.01153875696603,0.0578068434955718,,,
test_imputed_corrupted,ForestImputer,1459,MCAR,0.5,single_single,V7,impute_performance_std,MSE,0.377481569383247,0.5835631813581007,,,
test_imputed_corrupted,ForestImputer,1459,MCAR,0.5,single_single,V7,impute_performance_std,RMSE,0.0357375087408016,0.0545109042010024,,,
test_imputed_corrupted,ForestImputer,1481,MCAR,0.5,single_single,V2,impute_performance_std,MAE,0.0008268259692644,0.0016139990518749,,,
test_imputed_corrupted,ForestImputer,1481,MCAR,0.5,single_single,V2,impute_performance_std,MSE,0.0002955412091972,0.0037753932701293,,,
test_imputed_corrupted,ForestImputer,1481,MCAR,0.5,single_single,V2,impute_performance_std,RMSE,0.000152547370188,0.0019301824081155,,,
test_imputed_corrupted,ForestImputer,1526,MCAR,0.5,single_single,V3,impute_performance_std,MAE,0.0044776233837287,0.0057571592544271,,,
test_imputed_corrupted,ForestImputer,1526,MCAR,0.5,single_single,V3,impute_performance_std,MSE,0.005752197980165,0.0157555300914969,,,
test_imputed_corrupted,ForestImputer,1526,MCAR,0.5,single_single,V3,impute_performance_std,RMSE,0.0070428158119001,0.0201159432782698,,,
test_imputed_corrupted,ForestImputer,183,MCAR,0.5,single_single,Length,impute_performance_std,MAE,9.11710142317214e-05,0.0002170022624636,,,
test_imputed_corrupted,ForestImputer,183,MCAR,0.5,single_single,Length,impute_performance_std,MSE,6.68819548639311e-06,0.0001117983826864,,,
test_imputed_corrupted,ForestImputer,183,MCAR,0.5,single_single,Length,impute_performance_std,RMSE,0.0001921391748948,0.0028169074963629,,,
test_imputed_corrupted,ForestImputer,184,MCAR,0.5,single_single,black_king_col,impute_performance_std,F1_micro,0.0003709973265845,0.0017937359076433,,,
test_imputed_corrupted,ForestImputer,184,MCAR,0.5,single_single,black_king_col,impute_performance_std,F1_macro,0.0005191123734152,0.0009425090485046,,,
test_imputed_corrupted,ForestImputer,184,MCAR,0.5,single_single,black_king_col,impute_performance_std,F1_weighted,0.0004458809357868,0.0020799420869801,,,
test_imputed_corrupted,ForestImputer,26,MCAR,0.5,single_single,parents,impute_performance_std,F1_micro,0.0055819275756714,0.0038836596889252,,,
test_imputed_corrupted,ForestImputer,26,MCAR,0.5,single_single,parents,impute_performance_std,F1_macro,0.0055469152228059,0.0035986476859441,,,
test_imputed_corrupted,ForestImputer,26,MCAR,0.5,single_single,parents,impute_performance_std,F1_weighted,0.0055734458612571,0.0032307603328579,,,
test_imputed_corrupted,ForestImputer,30,MCAR,0.5,single_single,eccen,impute_performance_std,MAE,0.0206032977562702,0.2646921605596323,,,
test_imputed_corrupted,ForestImputer,30,MCAR,0.5,single_single,eccen,impute_performance_std,MSE,8.699907403520898,7.49147183043083,,,
test_imputed_corrupted,ForestImputer,30,MCAR,0.5,single_single,eccen,impute_performance_std,RMSE,0.5627133505524096,0.8799504782263176,,,
test_imputed_corrupted,ForestImputer,32,MCAR,0.5,single_single,input4,impute_performance_std,MAE,0.0491869469961019,0.0726403012517402,,,
test_imputed_corrupted,ForestImputer,32,MCAR,0.5,single_single,input4,impute_performance_std,MSE,0.9773644176916028,1.2160245474736298,,,
test_imputed_corrupted,ForestImputer,32,MCAR,0.5,single_single,input4,impute_performance_std,RMSE,0.1182864941418614,0.1307851968307689,,,
test_imputed_corrupted,ForestImputer,375,MCAR,0.5,single_single,coefficient3,impute_performance_std,MAE,0.0012049978033502,0.0009489032174871,,,
test_imputed_corrupted,ForestImputer,375,MCAR,0.5,single_single,coefficient3,impute_performance_std,MSE,0.000421776881996,0.001265238884854,,,
test_imputed_corrupted,ForestImputer,375,MCAR,0.5,single_single,coefficient3,impute_performance_std,RMSE,0.0015517671316951,0.004388765274124,,,
test_imputed_corrupted,ForestImputer,40497,MCAR,0.5,single_single,V13,impute_performance_std,MAE,0.0009741413062838,0.0060964879961432,,,
test_imputed_corrupted,ForestImputer,40497,MCAR,0.5,single_single,V13,impute_performance_std,MSE,0.0012453089361245,0.0031646586475248,,,
test_imputed_corrupted,ForestImputer,40497,MCAR,0.5,single_single,V13,impute_performance_std,RMSE,0.0059343478819176,0.0173627073689042,,,
