,Material,Dia,pp,TEMP,adm,Dem
5245,61437.0,2019-06-19,0.6,18.1,144.0,85.0
1844,61390.0,2019-08-23,0.0,26.0,151.0,83.0
106,61521.0,2019-03-29,0.0,,165.0,100.0
1426,61406.0,2019-05-17,0.0,13.9,230.0,
5216,61456.0,2019-06-18,1.4,17.3,144.0,85.0
2955,65024.0,2020-03-09,0.0,13.5,82.0,74.0
952,61387.0,2019-08-30,0.0,22.2,151.0,83.0
3593,61433.0,2019-04-11,0.0,12.7,172.0,84.0
6016,61474.0,2020-04-27,0.6,13.9,,71.0
1352,61513.0,2019-09-26,0.0,18.2,85.0,85.0
4427,61482.0,2020-02-21,0.0,15.0,,68.0
2149,61489.0,2019-11-08,0.0,13.0,86.0,118.0
4851,61419.0,2019-03-15,0.0,15.4,165.0,100.0
2585,61423.0,2020-01-24,3.6,9.7,32.0,101.0
1024,57651.2,2019-08-27,0.0,19.5,151.0,83.0
2080,61532.0,nan,0.0,24.7,85.0,85.0
1330,61434.0,2019-09-26,0.0,18.2,85.0,85.0
416,61516.0,2019-05-13,0.0,25.8,230.0,96.0
3142,61488.0,2019-01-31,13.5,12.8,55.0,97.0
4746,61466.0,2020-05-13,0.0,14.0,79.0,36.0
4844,61418.0,2019-02-12,0.0,12.6,87.0,64.0
564,61534.0,2019-09-27,0.0,18.6,85.0,85.0
478,61491.0,2019-06-07,0.0,,144.0,85.0
5510,61449.0,nan,15.8,14.9,36.0,89.0
1203,61449.0,2019-09-02,0.0,23.0,85.0,85.0
3393,61489.0,2019-03-06,11.8,12.1,165.0,100.0
142,61285.0,2019-03-29,0.0,15.2,165.0,100.0
1513,61482.0,2019-10-30,0.0,19.0,87.0,239.0
1433,61489.0,2019-05-17,0.0,13.9,230.0,96.0
4022,61457.0,2019-11-05,0.0,16.0,86.0,
3210,61451.0,2019-02-06,0.0,11.8,87.0,64.0
605,61417.0,2019-11-12,0.0,14.0,86.0,118.0
1194,61457.0,2019-09-02,0.0,23.0,,85.0
5085,61450.0,2019-06-06,3.4,,144.0,85.0
1805,61528.0,2019-12-11,0.0,12.0,36.0,89.0
1420,61535.0,2019-08-22,0.0,25.9,151.0,83.0
497,61459.0,2019-06-07,0.0,15.1,144.0,85.0
4217,61520.0,2019-12-04,0.0,10.0,36.0,89.0
4190,61417.0,2019-11-29,0.0,17.0,86.0,118.0
