,A1,A2,A3,A4,A5,A6,A7,A8,A9
75,55.0,-1.0,79.0,-4.0,20.0,-12.0,24.0,59.0,34.0
16889,55.0,0.0,78.0,-1.0,18.0,0.0,23.0,,38.0
316,46.0,0.0,87.0,-7.0,46.0,0.0,41.0,41.0,0.0
35444,49.0,0.0,,-4.0,50.0,3.0,27.0,27.0,0.0
42817,81.0,2.0,85.0,4.0,-24.0,0.0,,111.0,106.0
54568,46.0,5.0,88.0,0.0,46.0,14.0,42.0,41.0,0.0
41590,45.0,-3.0,82.0,6.0,46.0,11.0,37.0,35.0,0.0
28012,58.0,-4.0,86.0,0.0,56.0,-2.0,28.0,30.0,2.0
1841,38.0,0.0,92.0,0.0,24.0,5.0,,69.0,14.0
31114,49.0,-1.0,79.0,,,-17.0,30.0,32.0,2.0
2386,56.0,0.0,78.0,2.0,-22.0,0.0,22.0,101.0,80.0
29459,37.0,3.0,79.0,0.0,34.0,-1.0,42.0,46.0,4.0
50116,37.0,2.0,79.0,6.0,0.0,0.0,42.0,79.0,38.0
15255,55.0,0.0,81.0,6.0,54.0,0.0,27.0,27.0,0.0
35522,37.0,0.0,79.0,0.0,,-27.0,43.0,74.0,32.0
48297,81.0,-1.0,84.0,0.0,-12.0,17.0,4.0,97.0,94.0
26659,51.0,-4.0,86.0,0.0,50.0,-15.0,35.0,,2.0
26156,37.0,0.0,106.0,0.0,28.0,5.0,69.0,78.0,8.0
50368,66.0,0.0,109.0,0.0,64.0,-18.0,43.0,45.0,2.0
4911,56.0,0.0,77.0,,-4.0,-9.0,21.0,82.0,62.0
33590,55.0,-1.0,98.0,0.0,50.0,-16.0,42.0,49.0,6.0
13976,37.0,-4.0,109.0,,,0.0,72.0,73.0,0.0
36107,44.0,0.0,85.0,0.0,42.0,-16.0,41.0,44.0,2.0
21201,105.0,0.0,106.0,0.0,,0.0,1.0,36.0,36.0
27986,37.0,-1.0,97.0,0.0,36.0,-17.0,60.0,,2.0
22162,40.0,0.0,89.0,0.0,38.0,,49.0,50.0,2.0
47759,45.0,4.0,95.0,0.0,44.0,0.0,51.0,51.0,0.0
10644,56.0,0.0,77.0,0.0,20.0,2.0,22.0,57.0,36.0
26559,85.0,0.0,88.0,0.0,2.0,5.0,3.0,86.0,82.0
742,37.0,,83.0,0.0,28.0,10.0,46.0,54.0,8.0
25647,37.0,0.0,79.0,-5.0,8.0,7.0,43.0,72.0,28.0
17479,37.0,0.0,77.0,0.0,20.0,11.0,41.0,,16.0
10104,38.0,-4.0,86.0,0.0,38.0,0.0,48.0,47.0,
21861,85.0,0.0,88.0,-587.0,0.0,0.0,3.0,88.0,84.0
39217,37.0,0.0,77.0,0.0,,,40.0,46.0,
38263,43.0,0.0,89.0,0.0,42.0,-8.0,46.0,,2.0
31228,46.0,1.0,81.0,1.0,46.0,15.0,35.0,35.0,0.0
55478,45.0,-4.0,90.0,0.0,44.0,-1.0,45.0,46.0,2.0
37620,37.0,0.0,76.0,0.0,34.0,15.0,39.0,43.0,
11943,43.0,,87.0,0.0,42.0,-22.0,44.0,46.0,2.0
50282,47.0,1.0,107.0,0.0,46.0,0.0,59.0,60.0,
47674,49.0,2.0,85.0,0.0,46.0,-1.0,36.0,39.0,2.0
24316,37.0,0.0,77.0,-7.0,-10.0,4.0,40.0,,46.0
46438,46.0,0.0,77.0,-3.0,46.0,1.0,31.0,30.0,0.0
344,42.0,2.0,75.0,0.0,42.0,0.0,33.0,34.0,0.0
52824,54.0,0.0,87.0,2.0,54.0,0.0,33.0,33.0,0.0
25151,57.0,-1.0,83.0,0.0,56.0,0.0,26.0,26.0,0.0
32755,37.0,5.0,80.0,0.0,6.0,0.0,43.0,75.0,32.0
20275,55.0,0.0,93.0,0.0,46.0,24.0,37.0,46.0,8.0
49806,37.0,-4.0,,0.0,36.0,-23.0,45.0,,2.0
17933,47.0,1.0,100.0,0.0,46.0,0.0,54.0,54.0,0.0
38455,37.0,3.0,104.0,0.0,20.0,-17.0,66.0,83.0,16.0
49795,45.0,0.0,79.0,-1.0,44.0,-25.0,33.0,35.0,2.0
48463,56.0,0.0,92.0,6.0,-2.0,0.0,36.0,95.0,58.0
40717,,3.0,76.0,0.0,44.0,-22.0,30.0,32.0,2.0
24676,37.0,0.0,75.0,0.0,26.0,0.0,38.0,49.0,12.0
47179,43.0,0.0,81.0,8.0,44.0,30.0,38.0,37.0,0.0
3795,37.0,1.0,,0.0,8.0,-5.0,57.0,86.0,30.0
1458,37.0,0.0,108.0,0.0,34.0,-23.0,71.0,75.0,4.0
48486,53.0,0.0,79.0,0.0,54.0,,26.0,24.0,0.0
56413,37.0,0.0,92.0,6.0,6.0,,54.0,86.0,32.0
41734,37.0,0.0,76.0,0.0,28.0,5.0,39.0,48.0,8.0
4623,37.0,0.0,77.0,0.0,26.0,,40.0,51.0,10.0
6231,,0.0,78.0,0.0,16.0,,42.0,63.0,22.0
25915,55.0,0.0,96.0,0.0,44.0,,41.0,52.0,12.0
