,V1,V2,V3,V4
1115,1.54,0.457,1.847,0.902
1041,1.325,0.663,1.454,0.891
1647,1.793,0.426,1.892,1.387
3316,0.914,,1.559,1.895
4716,0.729,0.508,1.773,1.289
3532,,0.48,1.84,1.483
596,0.671,0.489,0.964,1.307
1776,0.772,0.777,,3.616
3873,,,1.934,1.553
3085,0.553,0.774,2.884,
652,0.806,0.423,1.44,0.425
4308,3.334,0.818,1.448,0.378
1411,1.066,0.604,1.676,0.636
1432,0.801,0.778,1.443,
4668,,0.657,1.462,
3599,1.098,2.365,1.323,2.431
1504,0.853,0.531,3.177,1.357
75,,0.53,2.753,0.611
2858,0.806,,2.437,0.61
3014,,0.486,,0.991
3690,0.779,0.603,1.618,1.334
5140,1.078,0.593,1.144,
1305,,0.452,1.84,1.022
2347,0.863,,,1.374
3313,0.972,0.682,1.589,0.744
4314,3.314,0.803,1.456,0.397
1467,1.437,0.763,1.494,0.776
1010,0.923,0.714,1.337,0.655
1029,0.92,0.718,1.395,0.766
1617,2.761,0.598,,
828,0.849,0.812,1.305,2.578
1255,,0.736,2.559,1.082
96,0.83,0.66,2.475,
5034,1.44,0.505,1.794,
4192,1.53,0.752,1.599,0.723
2860,,0.542,2.857,0.595
621,,0.443,3.256,1.38
566,1.464,0.693,3.315,0.748
4612,,0.532,2.44,4.763
3742,1.664,0.738,,0.521
51,1.477,0.472,2.508,0.585
1209,0.827,0.922,2.629,1.626
3489,0.949,0.74,1.515,0.693
745,,0.458,1.874,1.509
3784,1.252,,1.577,
4978,,,1.812,1.07
1344,1.731,0.418,1.813,1.028
195,0.74,0.483,,1.342
1215,0.829,0.914,1.99,1.418
3167,0.931,,2.654,0.86
802,1.261,2.233,1.458,2.264
4293,0.827,0.999,1.45,
2759,1.224,0.837,1.234,4.421
2142,0.773,0.731,,0.871
4230,0.987,0.544,1.048,1.263
4388,2.248,0.445,1.881,1.459
3468,3.285,0.855,1.399,0.419
1971,1.097,0.558,1.616,1.101
1315,0.501,0.445,1.821,1.034
644,0.824,0.396,1.473,0.449
3406,0.886,0.515,,1.36
4085,,0.464,1.771,1.102
1480,1.216,0.675,3.016,0.996
120,0.787,0.833,1.346,0.677
2633,1.554,1.42,1.634,2.066
3846,1.41,0.488,1.794,0.574
1924,0.806,0.682,1.433,0.681
4392,2.205,0.466,1.895,1.503
3309,1.052,0.653,1.618,0.726
2305,,0.466,,1.297
3683,0.874,,1.646,1.242
4676,,0.649,1.467,0.794
2705,0.931,1.001,1.118,2.472
134,1.593,0.765,1.353,0.624
5355,0.975,0.933,1.231,2.447
4930,1.228,0.583,2.84,0.687
1658,2.212,0.388,1.939,1.474
511,0.94,,1.592,1.839
62,1.37,0.489,2.857,0.666
4161,0.789,0.757,1.503,0.842
1777,,0.776,,3.615
1488,1.066,0.619,1.131,1.144
5013,1.637,0.475,1.859,1.151
122,0.814,0.668,,0.667
3375,,0.712,1.544,0.787
3418,0.888,0.5,2.584,1.358
4531,0.768,0.773,1.345,0.793
2653,1.412,0.73,,2.108
567,1.447,,,0.765
1892,0.831,0.644,1.334,
3786,1.219,0.579,1.588,0.957
864,0.769,0.82,1.343,
4137,,0.645,1.63,0.706
3739,1.65,0.75,,
4575,,0.578,1.675,1.29
1421,0.899,0.717,1.513,0.746
2876,0.817,,1.334,
720,,0.593,1.693,1.056
3214,2.145,0.578,2.823,0.753
4331,3.012,,1.584,0.695
1954,1.379,0.631,,0.789
602,,0.462,3.257,
2414,,0.598,1.172,1.135
1817,1.202,0.704,1.27,0.915
1652,,0.394,1.915,1.431
1302,1.542,0.453,1.844,1.024
4608,0.825,0.55,,5.0
4103,,0.476,1.831,1.26
318,0.789,,2.783,1.272
2083,,0.656,2.273,0.987
274,1.412,0.726,2.949,1.732
4701,1.191,0.58,1.591,0.999
4354,2.813,0.605,1.67,0.895
4166,0.782,0.759,1.506,0.788
1921,0.845,0.697,1.415,0.636
3270,1.449,,1.842,1.136
1703,1.369,0.639,1.684,2.022
4863,0.792,0.887,2.359,0.955
5260,2.686,0.583,1.701,1.026
295,,0.78,2.391,1.606
5135,1.178,,1.242,1.079
4593,0.825,0.566,1.694,5.0
298,0.978,0.779,2.388,1.704
68,1.31,0.501,2.824,
736,2.338,0.491,1.812,1.356
1912,1.696,0.757,1.356,0.488
1740,0.902,0.776,,2.528
2228,1.897,0.501,1.893,0.928
150,1.419,0.7,,0.795
756,1.832,0.468,1.923,1.624
1397,1.259,,1.786,
3661,1.259,0.789,1.325,0.861
5330,1.318,1.774,1.359,
4011,1.421,0.633,2.051,1.066
2275,1.707,0.456,,1.065
376,2.715,0.374,2.144,0.906
2543,2.657,0.615,,1.033
859,0.769,0.802,1.322,3.642
3372,1.506,0.729,1.578,0.743
3670,1.025,0.727,1.769,0.991
378,2.693,0.378,2.182,0.922
1773,0.778,0.776,,3.619
2881,0.968,0.776,1.339,0.502
2622,1.603,1.413,1.675,2.05
2702,0.973,,1.126,
2471,0.853,0.451,1.44,0.481
4925,1.309,0.606,2.138,0.625
841,,0.816,1.294,3.646
2154,1.826,0.778,2.644,0.828
1890,,0.833,,0.508
175,,,3.166,1.255
2580,2.041,,1.893,1.643
927,,0.583,1.72,1.201
2727,0.82,0.965,1.139,
45,1.167,0.47,2.541,0.545
1096,1.492,0.453,1.768,1.067
2451,0.586,0.485,2.582,1.374
2145,,0.732,2.647,0.852
4644,1.721,0.793,1.329,0.494
2224,,0.517,1.887,0.894
4037,1.924,0.521,1.883,0.925
1728,1.078,2.278,1.401,3.355
3685,,0.645,1.497,1.279
4690,1.364,0.631,,0.824
283,0.606,0.793,,1.885
2287,1.636,0.449,1.952,1.124
3038,1.103,,1.911,1.561
3053,0.822,0.691,2.989,1.862
5234,3.118,0.73,1.526,0.594
1370,1.314,0.433,1.874,1.226
5152,0.9,0.522,3.184,1.354
1611,,0.603,1.672,0.923
3116,0.785,0.768,2.783,0.942
3252,1.753,0.489,,1.046
3096,,0.766,,1.565
2182,2.696,0.367,2.143,
3658,1.27,0.774,1.343,0.85
1992,0.806,0.501,1.749,1.199
2445,,0.492,2.589,1.37
2862,0.798,0.564,2.937,
4974,,0.485,1.809,1.067
257,1.068,0.627,1.557,0.997
507,1.018,0.604,1.631,1.757
1335,1.493,0.423,2.065,1.031
99,0.792,,2.45,1.249
5403,0.813,0.809,1.312,3.628
5057,1.037,0.642,1.636,0.706
3240,0.802,0.496,1.853,1.062
2865,0.794,0.538,,0.575
4063,1.514,,2.023,
3866,1.191,0.568,1.831,1.499
2078,1.035,0.644,2.149,0.736
366,0.957,0.357,2.648,
3673,1.071,0.713,1.438,1.049
3439,0.887,0.464,1.426,0.788
4231,0.969,0.536,1.026,1.281
5120,1.463,0.724,,
949,0.9,0.566,1.737,1.217
4765,1.427,0.483,1.558,0.568
19,0.812,0.481,1.702,0.473
4819,0.604,0.776,2.918,2.127
668,3.338,0.423,1.42,0.371
218,1.567,0.459,1.82,0.554
3143,0.779,0.746,2.821,0.858
2104,1.011,0.733,2.932,1.419
3906,,0.767,,1.167
4080,0.569,0.468,2.593,1.072
3279,1.56,0.496,1.813,1.219
4483,0.929,0.828,1.292,
777,1.781,1.396,1.992,1.907
1839,0.918,,1.731,1.191
1018,0.863,,1.391,0.758
2763,0.81,0.98,1.232,0.948
3263,1.697,0.482,1.859,1.09
2833,0.807,0.579,1.65,5.0
3431,0.892,0.48,2.583,1.375
517,0.827,0.671,1.542,0.736
3965,0.768,0.782,2.679,0.909
3011,1.456,0.481,1.775,0.569
2922,1.303,0.632,1.505,0.885
3870,1.082,,1.91,
1485,1.122,0.64,3.06,1.089
2146,,0.372,2.64,0.85
4770,1.391,0.495,1.599,1.016
4379,2.391,0.464,1.831,
2517,,0.773,1.47,0.556
1052,1.115,0.582,3.11,1.088
1583,3.164,0.589,1.473,0.537
759,,0.537,1.934,1.65
3161,0.936,0.35,2.656,0.856
1323,0.745,0.432,1.919,1.049
214,1.197,0.456,1.835,1.039
1487,1.085,0.626,1.146,1.125
2638,1.421,0.721,1.624,2.077
5440,1.217,0.732,1.278,
2509,3.26,0.511,1.419,0.432
5309,1.612,1.485,1.649,2.088
2195,1.493,0.647,,0.99
196,0.861,0.482,3.208,
3162,0.932,0.35,,0.856
2093,0.586,0.732,2.94,2.104
1672,2.083,0.39,1.986,
1056,0.733,0.555,3.136,1.154
2292,1.586,0.451,1.69,1.17
887,1.341,0.738,1.401,0.774
4812,1.031,0.727,2.96,1.755
4024,1.97,0.571,2.839,0.728
2945,1.108,0.564,1.613,1.077
568,1.429,0.678,1.493,0.783
5250,2.833,0.627,1.642,0.878
4775,1.279,0.509,1.652,
3256,1.749,,1.941,1.049
139,1.586,0.758,1.357,
1513,0.583,0.52,3.168,1.356
2721,,1.026,,2.588
1149,1.319,0.638,1.877,0.723
2229,1.9,0.501,1.89,0.925
2092,0.602,0.724,2.948,2.082
3479,3.202,0.817,1.438,0.505
463,,0.477,1.959,1.181
4703,1.153,0.572,1.602,1.036
2998,1.105,0.472,1.758,1.115
4547,1.304,,,0.818
594,0.938,0.505,1.004,
2575,1.892,0.482,1.872,1.586
450,1.491,,1.767,1.095
2252,0.749,0.46,1.762,1.072
3621,0.822,0.894,1.223,
1983,,0.518,1.704,1.337
2110,1.009,0.733,2.93,1.705
1420,0.914,0.706,,0.758
3705,0.785,0.59,1.631,1.349
3370,1.527,0.737,,0.722
1174,0.803,0.786,1.892,0.874
1966,,0.579,1.59,1.003
451,1.492,0.485,1.872,1.097
4594,0.825,0.565,1.695,5.0
3545,1.782,0.625,1.92,1.67
3471,3.291,0.851,1.4,
3838,,0.481,1.779,1.168
2388,1.522,0.739,1.574,0.72
1263,2.404,0.58,1.633,1.165
5107,,0.758,1.62,0.691
999,1.741,0.863,1.257,
5306,1.659,1.456,1.961,
4677,0.851,0.649,1.468,0.794
5144,0.775,0.567,1.072,1.247
192,0.87,,3.206,
4274,0.842,0.417,,0.479
4918,1.984,0.626,2.059,1.074
4561,,,1.766,1.068
1600,2.945,,1.584,0.75
4805,1.479,0.689,2.24,1.674
4832,1.03,0.777,2.909,
1338,1.731,0.418,1.814,1.028
4960,,0.486,1.802,1.069
3032,1.248,0.559,,0.989
2346,,0.673,1.586,1.354
4785,1.214,0.567,1.815,
1293,0.861,,1.877,0.986
4113,1.415,0.494,1.798,0.83
4574,0.825,0.578,1.677,1.292
1869,0.809,0.517,1.711,1.305
3165,,0.35,2.66,0.856
4081,1.711,,,1.077
368,0.937,0.358,2.234,
1151,1.301,0.657,1.875,1.62
2133,0.776,0.755,2.794,0.884
1886,,0.487,2.914,0.557
2980,0.844,,3.199,1.362
5363,0.862,3.642,1.239,2.52
191,0.867,,3.205,1.343
2240,1.793,0.481,1.875,1.009
108,0.799,0.664,2.464,1.239
5287,2.152,,1.841,1.554
3355,0.767,0.784,1.574,
4367,2.628,0.558,1.745,1.083
1360,1.411,0.418,1.919,1.126
4296,,0.434,,0.387
4758,1.485,0.472,1.783,0.566
5307,1.641,1.457,1.71,2.06
4660,1.552,,1.401,0.647
4425,1.918,,1.961,1.782
4350,2.821,0.606,1.667,
4667,1.416,0.664,1.455,0.771
476,1.291,0.485,1.819,1.298
2663,1.38,0.75,1.554,2.136
4739,0.851,0.472,,1.107
312,0.847,0.779,2.104,2.351
508,0.998,0.608,1.622,1.777
166,1.105,0.588,3.114,
1877,0.803,0.503,2.455,5.0
3467,3.284,,1.398,0.419
2318,,0.491,1.786,0.581
1024,1.457,0.72,1.393,0.76
1221,0.823,0.893,2.358,1.688
4734,0.846,0.479,3.23,1.367
1818,,0.692,1.577,0.934
4915,2.481,0.649,2.217,1.035
4377,2.431,0.479,1.816,1.276
2671,1.299,1.327,1.44,2.208
2669,1.321,2.647,1.472,
2268,1.492,0.456,1.779,1.067
2276,1.707,0.456,2.009,1.065
4876,0.8,0.389,2.646,
4421,,1.452,1.953,1.731
1720,,2.222,,2.279
4396,2.181,0.436,1.904,1.525
4662,0.835,0.704,1.414,0.683
152,,0.69,,0.834
5105,1.565,0.758,1.612,0.692
5021,1.376,0.479,,0.577
5115,1.535,,1.605,0.722
5003,1.722,0.482,2.585,1.078
2402,1.338,0.677,2.888,0.904
1699,1.599,1.38,1.77,1.959
4399,2.179,,1.904,1.525
3396,1.066,0.58,,1.181
3996,2.655,0.695,2.721,0.952
5256,2.754,0.609,1.672,
1881,,0.491,,0.553
3652,0.892,0.792,1.821,0.845
31,1.635,,1.709,0.468
1225,0.817,0.897,2.651,1.484
937,0.896,0.579,1.717,1.215
5333,1.279,1.001,1.328,3.285
752,1.827,0.46,1.907,
1550,,0.467,1.414,0.491
309,0.895,0.773,2.411,1.679
2910,,0.636,1.48,
3075,0.667,0.747,2.927,1.81
3703,0.786,0.588,,1.332
4864,0.792,0.887,2.332,0.952
2181,2.711,0.361,,0.898
495,,0.531,1.753,0.981
1405,1.17,0.543,1.74,0.615
3966,0.77,,2.665,0.902
205,,0.465,1.921,1.088
1434,0.8,0.777,1.443,0.8
1135,1.338,0.519,1.805,0.576
3166,0.935,0.35,2.657,
5206,0.83,0.523,1.442,0.438
701,3.001,0.682,1.565,0.7
305,0.952,0.775,2.387,
5038,1.383,0.522,1.772,0.596
1192,1.086,0.899,2.808,5.0
4307,3.335,0.817,1.448,0.374
5043,1.297,0.55,,
1061,0.712,0.524,,1.244
843,0.785,0.814,1.295,3.642
3559,1.82,1.4,2.004,1.875
2677,,1.258,1.365,2.343
211,1.198,0.454,1.836,1.033
1340,1.731,0.418,1.813,1.028
1108,1.191,0.449,1.78,0.98
4258,0.841,0.453,0.916,1.41
679,2.923,0.431,1.426,0.375
2264,1.495,0.456,1.78,1.067
5268,2.533,0.543,1.744,
565,1.481,0.7,,0.731
1544,0.847,0.469,1.432,0.505
4183,0.775,0.789,1.561,0.739
680,3.322,0.436,1.429,0.38
180,0.639,0.504,3.194,1.34
3149,1.795,0.35,2.654,0.853
1789,0.765,0.781,,0.745
2751,0.819,1.011,1.195,2.66
5281,2.272,0.516,1.812,1.433
278,1.03,0.756,2.303,
2726,0.82,0.97,1.138,
3258,0.589,,2.018,1.057
1204,0.892,0.912,2.142,1.392
5184,0.845,0.473,2.623,1.417
432,0.79,0.5,1.851,1.08
289,,0.784,2.37,1.93
1027,1.453,0.719,1.393,0.764
535,0.763,0.684,,0.714
4077,1.723,0.468,2.595,1.067
1187,1.172,0.837,1.903,0.885
188,0.865,0.489,3.207,1.345
3378,1.415,0.696,2.88,0.837
5300,1.76,1.474,1.934,1.941
2164,1.817,0.341,2.18,0.827
5345,,0.943,1.254,
706,2.651,0.625,,0.795
1616,2.763,0.599,1.673,0.928
270,1.126,,,1.594
2168,1.816,0.34,2.18,0.828
4461,1.223,1.305,1.443,2.29
2317,,0.489,1.789,0.874
5312,1.57,1.444,1.621,2.128
4244,0.839,0.479,0.904,1.412
111,,0.671,,0.717
1170,0.799,0.78,1.97,0.884
1391,1.314,0.48,1.804,0.544
3542,1.813,0.63,1.905,1.635
220,1.553,,1.839,1.013
1545,0.845,0.47,1.42,0.501
627,0.829,0.433,,1.383
2420,0.995,0.561,1.057,
2699,1.005,1.023,1.139,2.412
4260,0.838,0.449,2.643,1.41
2874,0.797,0.851,1.351,0.526
790,,0.709,1.615,2.093
4939,2.067,,2.79,0.813
461,1.613,0.478,1.701,1.163
4806,1.462,0.694,2.288,1.709
551,0.764,0.713,3.251,0.65
2937,1.226,0.602,1.524,0.961
2410,1.186,0.627,1.25,1.058
2153,0.804,0.732,,0.83
198,0.857,0.478,1.811,1.341
4538,1.333,0.748,1.394,0.783
3305,1.131,0.627,1.647,0.71
402,1.309,0.616,,0.63
3754,1.536,,1.429,0.642
2531,2.86,0.687,1.579,
