,white_king_col,white_king_row,white_rook_col,white_rook_row,black_king_col,black_king_row
20482,d,2,f,1,g,8
20631,d,2,g,3,g,6
27228,c,1,g,3,f,5
8879,c,2,b,7,a,8
16826,a,1,d,5,f,3
24546,d,1,c,4,h,7
18552,c,2,b,2,b,7
8192,d,4,e,5,h,5
9622,d,2,f,6,h,3
25244,d,1,h,8,f,5
18783,c,2,d,5,d,7
16327,d,3,d,2,e,6
21102,a,1,e,1,d,4
8013,d,4,b,7,f,1
14218,c,2,a,5,e,7
12110,d,2,e,1,b,4
25835,a,1,e,7,c,1
15220,d,1,c,7,b,3
8908,c,2,c,8,e,2
1356,c,2,f,7,e,8
16952,a,1,h,5,h,2
8896,c,2,c,6,a,4
4973,d,3,f,7,a,8
2252,d,2,g,4,a,4
22257,b,2,b,1,f,6
2789,d,4,h,6,h,7
3953,c,3,a,2,h,1
7698,d,3,d,1,f,3
2085,d,2,c,6,b,5
20419,d,2,e,2,d,5
6178,d,3,f,6,e,5
16750,d,4,h,7,g,6
10854,c,1,c,7,a,3
12027,d,2,d,3,g,3
9598,d,2,f,2,d,6
8188,d,4,e,5,h,6
26236,b,1,c,8,a,5
8497,b,1,d,4,g,2
10127,d,4,c,1,h,3
24451,d,1,b,7,a,3
23327,c,1,f,7,a,7
24229,d,1,a,4,a,5
13474,b,1,f,6,b,3
18558,c,2,b,2,b,7
7364,c,3,h,6,d,1
21060,a,1,c,8,c,1
26930,c,1,c,2,a,3
2704,d,4,f,5,f,4
8265,d,4,f,8,h,6
16780,a,1,b,5,d,2
3433,c,1,d,2,g,1
6035,d,3,c,2,g,2
14748,c,2,h,5,a,8
18697,c,2,c,4,e,4
7516,d,2,f,4,c,7
12669,d,3,e,6,c,5
9322,d,1,c,3,a,5
408,b,1,e,6,e,7
15797,d,2,e,6,f,2
17999,c,1,d,1,e,2
12131,d,2,e,2,h,7
16600,d,3,h,2,a,4
13690,b,2,f,1,g,3
27571,d,1,f,7,a,6
19689,d,1,e,1,f,5
26118,b,1,b,7,g,5
23,a,1,d,2,d,3
21126,a,1,e,2,h,4
13172,a,1,a,6,g,7
27025,c,1,d,2,a,3
18652,c,2,b,8,a,6
20636,d,2,g,4,c,4
15839,d,2,f,5,d,6
19952,d,2,a,1,b,3
24547,d,1,c,4,e,8
12513,d,3,c,5,f,7
11644,c,3,h,8,h,4
4099,d,2,a,4,h,3
22214,b,2,a,4,e,4
18289,c,1,g,6,a,8
15746,d,2,e,2,f,6
12353,d,3,a,4,f,8
10434,a,1,h,7,d,1
23785,c,2,c,3,h,3
1276,c,2,e,4,b,4
10122,d,4,b,8,g,3
9564,d,2,e,6,a,3
10125,d,4,c,1,e,2
27070,c,1,e,4,g,4
7268,c,3,c,4,e,2
18762,c,2,d,2,c,8
5019,d,3,g,8,b,3
26470,b,1,g,1,f,3
10056,d,3,h,8,a,5
18389,c,2,a,1,h,5
14370,c,2,d,4,c,6
6111,d,3,d,5,g,2
25792,a,1,e,3,h,6
23798,c,2,c,6,f,4
19892,d,1,h,2,f,6
11070,c,2,a,1,h,8
21416,b,1,a,7,f,3
5549,c,2,g,3,a,2
3794,d,3,e,8,b,1
6983,c,1,g,6,h,2
2332,d,3,a,4,a,3
1261,c,2,e,2,g,3
19653,d,1,d,6,g,7
17355,b,1,f,2,b,7
20879,d,3,c,3,c,6
28053,b,1,g,7,h,7
11086,c,2,a,6,a,8
9253,c,3,f,8,g,4
18809,c,2,d,8,b,6
668,b,2,f,7,h,6
16752,d,4,h,7,g,5
27454,d,1,c,7,h,5
27966,b,1,c,6,d,3
13488,b,1,f,8,h,4
8478,b,1,c,7,a,8
12051,d,2,d,4,h,6
812,c,1,b,6,e,5
13196,a,1,c,4,f,2
13745,b,2,f,7,f,4
21858,b,1,e,8,a,3
7335,c,3,g,4,e,1
2101,d,2,c,8,b,7
23283,c,1,f,4,g,4
7405,d,1,f,4,c,7
3211,d,3,b,7,c,1
8136,d,4,d,7,h,1
11935,d,2,a,5,a,4
26500,b,1,g,3,c,6
25005,d,1,g,6,f,2
10597,b,1,f,4,c,7
1247,c,2,d,7,a,6
22129,b,1,h,5,c,5
9071,c,3,a,1,h,2
15879,d,2,g,5,c,8
17119,b,1,d,2,e,2
3387,d,3,d,2,b,1
4069,d,1,e,3,g,2
5635,c,3,e,4,g,2
24686,d,1,e,1,b,5
11537,c,3,e,8,e,2
20164,d,2,b,3,f,6
13251,a,1,f,8,h,1
6492,d,4,f,7,c,2
14653,c,2,g,1,b,6
457,b,1,f,5,a,5
5202,b,1,b,3,h,2
14624,c,2,f,6,c,8
3532,d,1,f,7,a,1
10290,d,4,h,7,g,2
27203,c,1,g,1,e,4
22315,b,2,c,2,g,7
6863,b,2,g,7,h,2
2334,d,3,a,4,f,3
21638,b,1,c,5,e,8
14149,c,1,h,6,a,3
14637,c,2,f,7,a,7
12507,d,3,c,4,h,6
21274,a,1,h,8,h,4
27823,a,1,f,8,d,2
26994,c,1,c,8,e,6
23062,c,1,d,1,g,6
6576,d,4,h,4,d,1
17213,b,1,e,1,h,6
11393,c,2,h,7,a,2
10950,c,1,e,8,f,2
8281,d,4,h,2,h,8
24576,d,1,c,5,b,6
18829,c,2,e,2,c,4
1012,c,1,f,6,a,5
12322,d,3,a,1,g,8
13804,b,2,h,8,f,1
15315,d,1,e,2,c,3
17743,b,2,e,3,e,8
22053,b,1,h,1,e,8
21859,b,1,e,8,e,4
3620,d,2,e,4,a,2
18570,c,2,b,2,f,8
18861,c,2,e,7,d,4
20495,d,2,f,2,d,6
24250,d,1,a,6,h,6
27111,c,1,f,2,g,3
5763,d,1,g,1,a,2
7751,d,3,e,2,a,8
24194,d,1,a,3,b,5
25799,a,1,e,5,c,3
10365,a,1,d,4,h,2
27916,a,1,h,6,e,5
13552,b,1,h,6,f,1
6977,c,1,g,4,f,1
1944,d,1,g,8,b,7
27869,a,1,g,6,g,4
25585,a,1,b,1,d,4
2002,d,2,a,4,b,5
22189,b,2,a,1,e,5
21805,b,1,e,6,b,5
26377,b,1,f,1,f,2
18451,c,2,a,4,c,5
12227,d,2,g,1,a,4
416,b,1,e,7,f,8
651,b,2,f,4,f,3
19290,c,3,c,4,a,4
27880,a,1,g,7,g,4
22099,b,1,h,4,c,6
12081,d,2,d,7,g,4
11686,d,1,c,2,b,5
9547,d,2,e,4,a,4
21214,a,1,g,5,g,2
7793,d,3,f,1,g,4
18699,c,2,c,4,e,6
701,b,2,g,5,a,4
22421,b,2,d,8,f,3
21355,b,1,a,4,a,6
13633,b,2,d,1,g,5
10569,b,1,e,2,g,7
7558,d,3,a,3,g,3
11177,c,2,d,7,b,5
24880,d,1,f,8,b,4
24189,d,1,a,3,h,6
21651,b,1,c,8,d,1
26085,b,1,b,6,d,3
5979,d,3,a,8,g,1
25480,d,2,g,7,d,5
19365,c,3,f,4,f,6
27303,c,2,d,6,d,4
16071,d,3,a,7,d,5
17287,b,1,e,4,h,7
16164,d,3,b,4,a,6
9201,c,3,d,8,g,2
12868,d,3,h,7,a,5
16557,d,3,g,6,f,3
19866,d,1,g,6,b,8
27048,c,1,d,7,d,3
8184,d,4,e,4,h,8
27794,a,1,f,2,f,5
9296,d,1,a,7,a,8
2374,d,3,b,4,b,5
17346,b,1,f,1,a,4
23104,c,1,d,5,g,3
10575,b,1,e,4,g,3
26347,b,1,e,5,e,2
10978,c,1,f,2,b,5
26526,b,1,g,6,b,6
11265,c,2,f,2,b,8
13950,c,1,d,6,a,1
12806,d,3,h,1,h,5
4245,d,2,h,4,h,1
3910,b,2,c,2,f,1
3705,d,3,a,8,e,1
1224,c,2,d,4,d,5
14214,c,2,a,4,a,6
25783,a,1,e,3,h,5
638,b,2,f,2,g,2
4704,c,3,g,4,a,8
9373,d,1,f,5,a,3
16394,d,3,f,1,h,8
11490,c,3,e,1,f,4
11144,c,2,d,1,h,8
2687,d,4,f,2,f,3
19545,d,1,b,5,a,5
14603,c,2,f,3,b,5
5130,d,4,f,7,c,1
9483,d,2,c,6,b,4
26472,b,1,g,1,e,5
24490,d,1,c,1,a,3
4821,d,2,g,2,h,8
20094,d,2,b,1,b,6
5982,d,3,b,1,e,1
3984,d,1,a,4,h,2
4265,d,3,b,1,h,7
19204,c,2,h,8,b,4
3381,d,3,c,2,f,1
6187,d,3,f,8,f,2
21328,b,1,a,2,d,8
23074,c,1,d,2,a,8
3634,d,2,f,3,f,1
24240,d,1,a,6,b,4
25131,d,1,h,4,a,5
6904,c,1,b,1,h,2
3522,d,1,f,3,f,1
7767,d,3,e,5,g,7
7690,d,3,c,8,g,5
23495,c,1,h,1,c,3
24317,d,1,a,8,e,6
25662,a,1,c,2,f,6
2616,d,3,h,4,a,5
21098,a,1,d,8,g,4
3287,d,2,d,7,h,1
2638,d,4,b,1,a,1
12147,d,2,e,3,a,6
26622,b,1,h,3,e,4
2323,d,3,a,2,a,3
6440,d,4,f,2,c,2
4692,c,3,e,3,g,1
22639,c,1,a,1,h,5
24754,d,1,e,7,a,5
9199,c,3,d,8,f,2
11963,d,2,b,1,h,7
21647,b,1,c,7,e,1
1891,d,1,g,1,h,1
6119,d,3,d,6,b,1
20814,d,2,h,6,d,5
8910,c,2,c,8,a,2
3422,d,4,f,2,b,1
22461,b,2,e,7,a,5
20745,d,2,h,2,a,4
16606,d,3,h,2,d,5
2879,c,3,a,5,d,1
21080,a,1,d,3,h,8
17311,b,1,e,6,e,7
5816,d,2,a,7,g,2
7500,d,2,d,7,d,8
9355,d,1,e,4,e,8
3277,d,2,d,3,a,1
18372,c,1,h,8,b,4
16030,d,3,a,3,a,6
23747,c,2,b,7,d,6
27846,a,1,g,3,h,4
5421,c,2,a,7,h,1
12136,d,2,e,3,c,8
28005,b,1,f,2,e,4
23862,c,2,d,3,e,6
20320,d,2,c,4,b,6
13963,c,1,d,7,g,2
9134,c,3,b,6,f,1
616,b,2,e,4,e,3
15703,d,2,d,7,g,3
8270,d,4,g,3,d,2
4504,b,1,b,2,a,4
10324,a,1,b,4,g,1
10191,d,4,e,1,f,4
6392,d,4,e,5,h,1
11742,d,1,d,4,a,6
20895,d,3,c,7,b,5
11808,d,1,f,1,g,6
27400,d,1,c,1,b,6
1231,c,2,d,5,d,4
531,b,1,g,7,h,7
17635,b,2,c,2,g,3
9575,d,2,f,1,g,3
5847,d,2,c,1,a,2
20984,a,1,a,8,f,5
14711,c,2,h,2,b,8
7606,d,3,b,6,a,7
15578,d,2,b,3,f,3
27701,a,1,b,8,f,4
2862,c,2,f,8,a,1
12187,d,2,e,7,c,7
7515,d,2,f,4,g,6
25133,d,1,h,4,a,4
5802,d,2,a,2,f,2
15818,d,2,e,8,b,5
13077,d,4,e,7,f,4
18854,c,2,e,7,g,5
24891,d,1,g,1,b,3
23351,c,1,g,1,a,5
14625,c,2,f,6,h,7
27226,c,1,g,3,a,4
175,a,1,h,3,g,3
18075,c,1,e,1,a,3
21453,b,1,a,8,e,6
7936,d,4,a,5,f,1
2930,c,1,g,3,h,1
27847,a,1,g,3,h,5
6235,d,3,h,8,e,1
24123,d,1,a,1,e,7
12035,d,2,d,3,d,8
13365,b,1,d,6,a,7
15442,d,1,g,8,f,1
15944,d,2,h,5,a,8
2519,d,3,f,5,g,6
3147,c,1,b,4,a,1
18744,c,2,d,1,d,7
18737,c,2,c,8,g,6
12189,d,2,e,8,a,5
20218,d,2,b,7,d,4
26319,b,1,d,8,f,3
6842,b,2,g,1,g,6
13818,c,1,a,3,h,8
17395,b,1,f,6,a,1
1574,c,3,g,6,f,5
1349,c,2,f,6,a,5
15614,d,2,b,8,b,4
25419,d,2,f,6,d,5
10990,c,1,f,4,h,3
5071,d,4,c,1,h,1
3223,d,3,h,2,c,1
25440,d,2,f,7,f,3
265,b,1,b,8,b,7
13588,b,2,a,8,d,2
18283,c,1,g,6,a,8
26380,b,1,f,1,d,5
25911,a,1,g,7,d,2
19869,d,1,g,6,a,7
14372,c,2,d,4,a,8
25353,d,2,c,7,d,7
13083,d,4,e,8,g,5
6417,d,4,e,7,f,1
23966,c,2,g,1,e,5
5512,c,2,d,1,h,1
26872,c,1,b,4,b,6
23100,c,1,d,5,b,5
27609,d,1,g,2,e,4
23740,c,2,b,6,b,4
8161,d,4,e,1,g,2
26218,b,1,c,7,e,4
25844,a,1,e,7,c,4
2127,d,2,d,7,h,6
12850,d,3,h,5,d,6
14701,c,2,h,1,g,5
83,a,1,f,2,e,3
26153,b,1,c,1,f,4
22752,c,1,a,6,e,3
21464,b,1,a,8,g,6
3244,d,1,e,2,f,1
19620,d,1,d,4,g,4
4957,d,3,f,2,a,3
6824,b,2,d,7,h,1
28012,b,1,f,3,d,6
24809,d,1,f,3,a,5
16490,d,3,g,2,e,4
19571,d,1,c,5,g,3
16718,d,4,d,3,h,5
28048,b,1,g,6,e,6
5357,c,1,e,4,a,3
18411,c,2,a,2,b,4
25518,a,1,a,3,g,4
13082,d,4,e,8,g,4
1830,d,1,e,7,f,6
7070,c,2,c,8,g,6
18918,c,2,f,4,c,5
19893,d,1,h,2,a,7
22695,c,1,a,3,f,7
3019,c,3,c,8,c,1
19834,d,1,g,1,a,4
21175,a,1,f,1,e,2
1233,c,2,d,5,e,4
10366,a,1,d,4,h,3
15030,c,3,e,7,g,6
8317,a,1,a,3,h,1
13570,b,2,a,1,h,8
17283,b,1,e,4,c,3
424,b,1,f,1,f,2
18769,c,2,d,3,g,8
26276,b,1,d,2,e,5
7497,d,2,d,5,a,8
16797,a,1,c,1,h,8
14337,c,2,c,4,f,6
20773,d,2,h,3,e,7
25666,a,1,c,3,h,6
809,c,1,b,6,b,7
22203,b,2,a,2,a,5
22962,c,1,b,8,g,5
3341,d,2,g,5,a,1
23371,c,1,g,3,b,3
16024,d,3,a,3,h,5
16868,a,1,f,2,f,4
3125,d,3,d,7,e,1
20302,d,2,c,3,f,3
21717,b,1,d,6,h,5
23118,c,1,d,7,c,7
20076,d,2,a,8,a,5
9891,d,3,e,6,b,7
6034,d,3,c,2,g,2
14354,c,2,c,6,a,7
18560,c,2,b,2,f,6
714,b,2,g,7,g,6
3219,d,3,f,2,b,1
9418,d,2,a,2,f,8
6052,d,3,c,5,g,1
11060,c,1,h,7,h,8
20325,d,2,c,4,f,6
17541,b,1,h,8,e,8
1929,d,1,g,6,f,6
8889,c,2,c,5,f,2
27148,c,1,f,6,h,6
14186,c,2,a,1,g,3
3588,d,2,c,5,a,1
14576,c,2,e,8,a,5
12528,d,3,c,8,b,4
16128,d,3,b,2,g,5
2608,d,3,h,3,a,3
20038,d,2,a,5,d,5
